Date	Treatment	Dye	name
011124	0	PI alone	011124_Dye Order_Experiment_Plate_0_p.fcs
011124	0	PI first	011124_Dye Order_Experiment_Plate_0_pf.fcs
011124	0	SYTO9+PI	011124_Dye Order_Experiment_Plate_0_sf.fcs
011124	10	PI alone	011124_Dye Order_Experiment_Plate_10_p.fcs
011124	10	PI first	011124_Dye Order_Experiment_Plate_10_pf.fcs
011124	10	SYTO9+PI	011124_Dye Order_Experiment_Plate_10_sf.fcs
011124	100	PI alone	011124_Dye Order_Experiment_Plate_100_p.fcs
011124	100	PI first	011124_Dye Order_Experiment_Plate_100_pf.fcs
011124	100	SYTO9+PI	011124_Dye Order_Experiment_Plate_100_sf.fcs
011124	1000	PI alone	011124_Dye Order_Experiment_Plate_1000_p.fcs
011124	1000	PI first	011124_Dye Order_Experiment_Plate_1000_pf.fcs
011124	1000	SYTO9+PI	011124_Dye Order_Experiment_Plate_1000_sf.fcs
011524	0	PI alone	011524_Dye Order_Experiment_Plate_0_p.fcs
011524	0	PI first	011524_Dye Order_Experiment_Plate_0_pf.fcs
011524	0	SYTO9+PI	011524_Dye Order_Experiment_Plate_0_sf.fcs
011524	10	PI alone	011524_Dye Order_Experiment_Plate_10_p.fcs
011524	10	PI first	011524_Dye Order_Experiment_Plate_10_pf.fcs
011524	10	SYTO9+PI	011524_Dye Order_Experiment_Plate_10_sf.fcs
011524	100	PI alone	011524_Dye Order_Experiment_Plate_100_p.fcs
011524	100	PI first	011524_Dye Order_Experiment_Plate_100_pf.fcs
011524	100	SYTO9+PI	011524_Dye Order_Experiment_Plate_100_sf.fcs
011524	1000	PI alone	011524_Dye Order_Experiment_Plate_1000_p.fcs
011524	1000	PI first	011524_Dye Order_Experiment_Plate_1000_pf.fcs
011524	1000	SYTO9+PI	011524_Dye Order_Experiment_Plate_1000_sf.fcs
011624	0	PI alone	011624_Dye Order_Experiment_Plate_0_p.fcs
011624	0	PI first	011624_Dye Order_Experiment_Plate_0_pf.fcs
011624	0	SYTO9+PI	011624_Dye Order_Experiment_Plate_0_sf.fcs
011624	10	PI alone	011624_Dye Order_Experiment_Plate_10_p.fcs
011624	10	PI first	011624_Dye Order_Experiment_Plate_10_pf.fcs
011624	10	SYTO9+PI	011624_Dye Order_Experiment_Plate_10_sf.fcs
011624	100	PI alone	011624_Dye Order_Experiment_Plate_100_p.fcs
011624	100	PI first	011624_Dye Order_Experiment_Plate_100_pf.fcs
011624	100	SYTO9+PI	011624_Dye Order_Experiment_Plate_100_sf.fcs
011624	1000	PI alone	011624_Dye Order_Experiment_Plate_1000_p.fcs
011624	1000	PI first	011624_Dye Order_Experiment_Plate_1000_pf.fcs
011624	1000	SYTO9+PI	011624_Dye Order_Experiment_Plate_1000_sf.fcs
