File Name	Date	Strain	Replicate Index (A = replicate 1, B= replicate 2)	H2O2
091523_Cg log FGL_Experiment_Plate_100.fcs'	91523	yH181	A	100 mM
091523_Cg log FGL_Experiment_Plate_10.fcs'	91523	yH181	A	10 mM
091523_Cg log FGL_Experiment_Plate_1M.fcs'	91523	yH181	A	1M
091523_Cg log FGL_Experiment_Plate_20.fcs'	91523	yH181	A	20 mM
091523_Cg log FGL_Experiment_Plate_2.fcs'	91523	yH181	A	2 mM
091523_Cg log FGL_Experiment_Plate_40.fcs'	91523	yH181	A	40 mM
091523_Cg log FGL_Experiment_Plate_4.fcs'	91523	yH181	A	4 mM
091523_Cg log FGL_Experiment_Plate_60.fcs'	91523	yH181	A	60 mM
091523_Cg log FGL_Experiment_Plate_6.fcs'	91523	yH181	A	6 mM
091523_Cg log FGL_Experiment_Plate_80.fcs'	91523	yH181	A	80 mM
091523_Cg log FGL_Experiment_Plate_8.fcs'	91523	yH181	A	8 mM
091523_Cg log FGL_Experiment_Plate_Mock.fcs'	91523	yH181	A	0 mM
091823_Cg log FGL_Experiment_Plate_100.fcs'	91823	yH181	A	100 mM
091823_Cg log FGL_Experiment_Plate_10.fcs'	91823	yH181	A	10 mM
091823_Cg log FGL_Experiment_Plate_1M.fcs'	91823	yH181	A	1M
091823_Cg log FGL_Experiment_Plate_20.fcs'	91823	yH181	A	20 mM
091823_Cg log FGL_Experiment_Plate_2.fcs'	91823	yH181	A	2 mM
091823_Cg log FGL_Experiment_Plate_4.fcs'	91823	yH181	A	4 mM
091823_Cg log FGL_Experiment_Plate_60.fcs'	91823	yH181	A	60 mM
091823_Cg log FGL_Experiment_Plate_6.fcs'	91823	yH181	A	6 mM
091823_Cg log FGL_Experiment_Plate_80.fcs'	91823	yH181	A	80 mM
091823_Cg log FGL_Experiment_Plate_8.fcs'	91823	yH181	A	8 mM
091823_Cg log FGL_Experiment_Plate_B 100.fcs'	91823	yH181	B	100 mM
091823_Cg log FGL_Experiment_Plate_B 10.fcs'	91823	yH181	B	10 mM
091823_Cg log FGL_Experiment_Plate_B 1M.fcs'	91823	yH181	B	1M
091823_Cg log FGL_Experiment_Plate_B 20.fcs'	91823	yH181	B	20 mM
091823_Cg log FGL_Experiment_Plate_B 2.fcs'	91823	yH181	B	2 mM
091823_Cg log FGL_Experiment_Plate_B 40.fcs'	91823	yH181	B	40 mM
091823_Cg log FGL_Experiment_Plate_B 4.fcs'	91823	yH181	B	4 mM
091823_Cg log FGL_Experiment_Plate_B 60.fcs'	91823	yH181	B	60 mM
091823_Cg log FGL_Experiment_Plate_B 6.fcs'	91823	yH181	B	6 mM
091823_Cg log FGL_Experiment_Plate_B 80.fcs'	91823	yH181	B	80 mM
091823_Cg log FGL_Experiment_Plate_B 8.fcs'	91823	yH181	B	8 mM
091823_Cg log FGL_Experiment_Plate_B Mock.fcs'	91823	yH181	B	0 mM
091823_Cg log FGL_Experiment_Plate_Mock.fcs'	91823	yH181	A	0 mM
092123_Cg log FGL_Experiment_Plate_100.fcs'	92123	yH181	A	100 mM
092123_Cg log FGL_Experiment_Plate_10.fcs'	92123	yH181	A	10 mM
092123_Cg log FGL_Experiment_Plate_1M.fcs'	92123	yH181	A	1M
092123_Cg log FGL_Experiment_Plate_20.fcs'	92123	yH181	A	20 mM
092123_Cg log FGL_Experiment_Plate_2.fcs'	92123	yH181	A	2 mM
092123_Cg log FGL_Experiment_Plate_40.fcs'	92123	yH181	A	40 mM
092123_Cg log FGL_Experiment_Plate_4.fcs'	92123	yH181	A	4 mM
092123_Cg log FGL_Experiment_Plate_60.fcs'	92123	yH181	A	60 mM
092123_Cg log FGL_Experiment_Plate_6.fcs'	92123	yH181	A	6 mM
092123_Cg log FGL_Experiment_Plate_80.fcs'	92123	yH181	A	80 mM
092123_Cg log FGL_Experiment_Plate_8.fcs'	92123	yH181	A	8 mM
092123_Cg log FGL_Experiment_Plate_Mock.fcs'	92123	yH181	A	0 mM
092523_Cg log FGL_Experiment_Plate_100.fcs'	92523	yH181	A	100 mM
092523_Cg log FGL_Experiment_Plate_10.fcs'	92523	yH181	A	10 mM
092523_Cg log FGL_Experiment_Plate_1M.fcs'	92523	yH181	A	1M
092523_Cg log FGL_Experiment_Plate_20.fcs'	92523	yH181	A	20 mM
092523_Cg log FGL_Experiment_Plate_2.fcs'	92523	yH181	A	2 mM
092523_Cg log FGL_Experiment_Plate_40.fcs'	92523	yH181	A	40 mM
092523_Cg log FGL_Experiment_Plate_4.fcs'	92523	yH181	A	4 mM
092523_Cg log FGL_Experiment_Plate_60.fcs'	92523	yH181	A	60 mM
092523_Cg log FGL_Experiment_Plate_6.fcs'	92523	yH181	A	6 mM
092523_Cg log FGL_Experiment_Plate_80.fcs'	92523	yH181	A	80 mM
092523_Cg log FGL_Experiment_Plate_8.fcs'	92523	yH181	A	8 mM
092523_Cg log FGL_Experiment_Plate_B 100.fcs'	92523	yH181	B	100 mM
092523_Cg log FGL_Experiment_Plate_B 10.fcs'	92523	yH181	B	10 mM
092523_Cg log FGL_Experiment_Plate_B 1M.fcs'	92523	yH181	B	1M
092523_Cg log FGL_Experiment_Plate_B 20.fcs'	92523	yH181	B	20 mM
092523_Cg log FGL_Experiment_Plate_B 2.fcs'	92523	yH181	B	2 mM
092523_Cg log FGL_Experiment_Plate_B 40.fcs'	92523	yH181	B	40 mM
092523_Cg log FGL_Experiment_Plate_B 4.fcs'	92523	yH181	B	4 mM
092523_Cg log FGL_Experiment_Plate_B 60.fcs'	92523	yH181	B	60 mM
092523_Cg log FGL_Experiment_Plate_B 6.fcs'	92523	yH181	B	6 mM
092523_Cg log FGL_Experiment_Plate_B 80.fcs'	92523	yH181	B	80 mM
092523_Cg log FGL_Experiment_Plate_B 8.fcs'	92523	yH181	B	8 mM
092523_Cg log FGL_Experiment_Plate_B Mock.fcs'	92523	yH181	B	0 mM
092523_Cg log FGL_Experiment_Plate_Mock.fcs'	92523	yH181	A	0 mM
