Date	Treatment	Density	Dye	FSC.A	SSC.A	FSC.H	SSC.H	BL1.H	BL3.H	FSC.W	SSC.W	name
121923	0mM	0.01	1000	368360	218427.5	370490.5	216331.5	1331	87	108	103	121923_Cell Density_Experiment_Plate_0mM_0.01_1000.fcs
121923	0mM	0.01	2000	366393	214238	368313	211203	185	63	106	103	121923_Cell Density_Experiment_Plate_0mM_0.01_2000.fcs
121923	0mM	0.01	500	353494	223911	355177	222120	15506	494	107	103	121923_Cell Density_Experiment_Plate_0mM_0.01_500.fcs
121923	0mM	0.1	1000	391162	238393	391638	235378	1412	82	110	104	121923_Cell Density_Experiment_Plate_0mM_0.1_1000.fcs
121923	0mM	0.1	2000	389762.5	230384.5	391208.5	227509.5	239	62	109	104	121923_Cell Density_Experiment_Plate_0mM_0.1_2000.fcs
121923	0mM	0.1	500	384878.5	249201	386022.5	245983	15404	456	110	104	121923_Cell Density_Experiment_Plate_0mM_0.1_500.fcs
121923	0mM	1	1000	407656.5	271090	411345	269061	1799	89	107	103	121923_Cell Density_Experiment_Plate_0mM_1_1000.fcs
121923	0mM	1	2000	409505.5	268672.5	410460.5	266167.5	428	62	109	104	121923_Cell Density_Experiment_Plate_0mM_1_2000.fcs
121923	0mM	1	500	392769	264483.5	395147.5	261946	8195	249	108	103	121923_Cell Density_Experiment_Plate_0mM_1_500.fcs
121923	0mM	U	1000	394079	252249.5	395819	250308	1956.5	94	109	103	121923_Cell Density_Experiment_Plate_0mM_U_1000.fcs
121923	0mM	U	2000	402748.5	255576.5	404333	252990.5	450	64	108	104	121923_Cell Density_Experiment_Plate_0mM_U_2000.fcs
121923	0mM	U	500	388889	253577	390855	251019	10929	324	108	103	121923_Cell Density_Experiment_Plate_0mM_U_500.fcs
121923	100mM	0.01	1000	340700.5	215726	341463.5	213230.5	4339	168	107	102	121923_Cell Density_Experiment_Plate_100mM_0.01_1000.fcs
121923	100mM	0.01	2000	321253	196367	323818	194922	903	74	105	101	121923_Cell Density_Experiment_Plate_100mM_0.01_2000.fcs
