Date	Treatment	Density	Dye	name
121923	0mM	0.01	1000	121923_Cell Density_Experiment_Plate_0mM_0.01_1000.fcs
121923	0mM	0.01	2000	121923_Cell Density_Experiment_Plate_0mM_0.01_2000.fcs
121923	0mM	0.01	500	121923_Cell Density_Experiment_Plate_0mM_0.01_500.fcs
121923	0mM	0.1	1000	121923_Cell Density_Experiment_Plate_0mM_0.1_1000.fcs
121923	0mM	0.1	2000	121923_Cell Density_Experiment_Plate_0mM_0.1_2000.fcs
121923	0mM	0.1	500	121923_Cell Density_Experiment_Plate_0mM_0.1_500.fcs
121923	0mM	1	1000	121923_Cell Density_Experiment_Plate_0mM_1_1000.fcs
121923	0mM	1	2000	121923_Cell Density_Experiment_Plate_0mM_1_2000.fcs
121923	0mM	1	500	121923_Cell Density_Experiment_Plate_0mM_1_500.fcs
121923	0mM	U	1000	121923_Cell Density_Experiment_Plate_0mM_U_1000.fcs
121923	0mM	U	2000	121923_Cell Density_Experiment_Plate_0mM_U_2000.fcs
121923	0mM	U	500	121923_Cell Density_Experiment_Plate_0mM_U_500.fcs
121923	100mM	0.01	1000	121923_Cell Density_Experiment_Plate_100mM_0.01_1000.fcs
121923	100mM	0.01	2000	121923_Cell Density_Experiment_Plate_100mM_0.01_2000.fcs
121923	100mM	0.01	500	121923_Cell Density_Experiment_Plate_100mM_0.01_500.fcs
121923	100mM	0.1	1000	121923_Cell Density_Experiment_Plate_100mM_0.1_1000.fcs
121923	100mM	0.1	2000	121923_Cell Density_Experiment_Plate_100mM_0.1_2000.fcs
121923	100mM	0.1	500	121923_Cell Density_Experiment_Plate_100mM_0.1_500.fcs
121923	100mM	1	1000	121923_Cell Density_Experiment_Plate_100mM_1_1000.fcs
121923	100mM	1	2000	121923_Cell Density_Experiment_Plate_100mM_1_2000.fcs
121923	100mM	1	500	121923_Cell Density_Experiment_Plate_100mM_1_500.fcs
121923	100mM	U	1000	121923_Cell Density_Experiment_Plate_100mM_U_1000.fcs
121923	100mM	U	2000	121923_Cell Density_Experiment_Plate_100mM_U_2000.fcs
121923	100mM	U	500	121923_Cell Density_Experiment_Plate_100mM_U_500.fcs
121923	10mM	0.01	1000	121923_Cell Density_Experiment_Plate_10mM_0.01_1000.fcs
121923	10mM	0.01	2000	121923_Cell Density_Experiment_Plate_10mM_0.01_2000.fcs
121923	10mM	0.01	500	121923_Cell Density_Experiment_Plate_10mM_0.01_500.fcs
121923	10mM	0.1	1000	121923_Cell Density_Experiment_Plate_10mM_0.1_1000.fcs
121923	10mM	0.1	2000	121923_Cell Density_Experiment_Plate_10mM_0.1_2000.fcs
121923	10mM	0.1	500	121923_Cell Density_Experiment_Plate_10mM_0.1_500.fcs
121923	10mM	1	1000	121923_Cell Density_Experiment_Plate_10mM_1_1000.fcs
121923	10mM	1	2000	121923_Cell Density_Experiment_Plate_10mM_1_2000.fcs
121923	10mM	1	500	121923_Cell Density_Experiment_Plate_10mM_1_500.fcs
121923	10mM	U	1000	121923_Cell Density_Experiment_Plate_10mM_U_1000.fcs
121923	10mM	U	2000	121923_Cell Density_Experiment_Plate_10mM_U_2000.fcs
121923	10mM	U	500	121923_Cell Density_Experiment_Plate_10mM_U_500.fcs
121923	1M	0.01	1000	121923_Cell Density_Experiment_Plate_1M_0.01_1000.fcs
121923	1M	0.01	2000	121923_Cell Density_Experiment_Plate_1M_0.01_2000.fcs
121923	1M	0.01	500	121923_Cell Density_Experiment_Plate_1M_0.01_500.fcs
121923	1M	0.1	1000	121923_Cell Density_Experiment_Plate_1M_0.1_1000.fcs
121923	1M	0.1	2000	121923_Cell Density_Experiment_Plate_1M_0.1_2000.fcs
121923	1M	0.1	500	121923_Cell Density_Experiment_Plate_1M_0.1_500.fcs
121923	1M	1	1000	121923_Cell Density_Experiment_Plate_1M_1_1000.fcs
121923	1M	1	2000	121923_Cell Density_Experiment_Plate_1M_1_2000.fcs
121923	1M	1	500	121923_Cell Density_Experiment_Plate_1M_1_500.fcs
121923	1M	U	1000	121923_Cell Density_Experiment_Plate_1M_U_1000.fcs
