Date	Treatment	Dye	Dilution	name
021724	0 mM	PI	1000 x	021724_ScCa_Conc_Experiment_Plate_0_p_1000.fcs
021724	0 mM	PI	2000 x	021724_ScCa_Conc_Experiment_Plate_0_p_2000.fcs
021724	0 mM	PI	250 x	021724_ScCa_Conc_Experiment_Plate_0_p_250.fcs
021724	0 mM	PI	500 x	021724_ScCa_Conc_Experiment_Plate_0_p_500.fcs
021724	0 mM	SYTO9	1000 x	021724_ScCa_Conc_Experiment_Plate_0_s_1000.fcs
021724	0 mM	SYTO9	2000 x	021724_ScCa_Conc_Experiment_Plate_0_s_2000.fcs
021724	0 mM	SYTO9	250 x	021724_ScCa_Conc_Experiment_Plate_0_s_250.fcs
021724	0 mM	SYTO9	500 x	021724_ScCa_Conc_Experiment_Plate_0_s_500.fcs
021724	10 mM	PI	1000 x	021724_ScCa_Conc_Experiment_Plate_10_p_1000.fcs
021724	10 mM	PI	2000 x	021724_ScCa_Conc_Experiment_Plate_10_p_2000.fcs
021724	10 mM	PI	250 x	021724_ScCa_Conc_Experiment_Plate_10_p_250.fcs
021724	10 mM	PI	500 x	021724_ScCa_Conc_Experiment_Plate_10_p_500.fcs
021724	10 mM	SYTO9	1000 x	021724_ScCa_Conc_Experiment_Plate_10_s_1000.fcs
021724	10 mM	SYTO9	2000 x	021724_ScCa_Conc_Experiment_Plate_10_s_2000.fcs
021724	10 mM	SYTO9	250 x	021724_ScCa_Conc_Experiment_Plate_10_s_250.fcs
021724	10 mM	SYTO9	500 x	021724_ScCa_Conc_Experiment_Plate_10_s_500.fcs
021724	100 mM	PI	1000 x	021724_ScCa_Conc_Experiment_Plate_100_p_1000.fcs
021724	100 mM	PI	2000 x	021724_ScCa_Conc_Experiment_Plate_100_p_2000.fcs
021724	100 mM	PI	250 x	021724_ScCa_Conc_Experiment_Plate_100_p_250.fcs
021724	100 mM	PI	500 x	021724_ScCa_Conc_Experiment_Plate_100_p_500.fcs
021724	100 mM	SYTO9	1000 x	021724_ScCa_Conc_Experiment_Plate_100_s_1000.fcs
021724	100 mM	SYTO9	2000 x	021724_ScCa_Conc_Experiment_Plate_100_s_2000.fcs
021724	100 mM	SYTO9	250 x	021724_ScCa_Conc_Experiment_Plate_100_s_250.fcs
021724	100 mM	SYTO9	500 x	021724_ScCa_Conc_Experiment_Plate_100_s_500.fcs
021724	1000 mM	PI	1000 x	021724_ScCa_Conc_Experiment_Plate_1000_p_1000.fcs
021724	1000 mM	PI	2000 x	021724_ScCa_Conc_Experiment_Plate_1000_p_2000.fcs
021724	1000 mM	PI	250 x	021724_ScCa_Conc_Experiment_Plate_1000_p_250.fcs
021724	1000 mM	PI	500 x	021724_ScCa_Conc_Experiment_Plate_1000_p_500.fcs
021724	1000 mM	SYTO9	1000 x	021724_ScCa_Conc_Experiment_Plate_1000_s_1000.fcs
021724	1000 mM	SYTO9	2000 x	021724_ScCa_Conc_Experiment_Plate_1000_s_2000.fcs
021724	1000 mM	SYTO9	250 x	021724_ScCa_Conc_Experiment_Plate_1000_s_250.fcs
021724	1000 mM	SYTO9	500 x	021724_ScCa_Conc_Experiment_Plate_1000_s_500.fcs
