Date	Treatment	Dilution	Dye	sample	n_root	n_cells	n_singlet	n_Red_Positive	n_live	percent_Live	percent_RP	name
112023	0 mM	1000 x	PI	112023_dilutions_Experiment_Plate_0_1000_p.fcs	26106	26050	15889	117	15841	0.9969790421046006	0.0073635848700358735	112023_dilutions_Experiment_Plate_0_1000_p.fcs
112023	0 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_0_1000.fcs	27131	27031	17262	1191	17183	0.9954234735256633	0.06899548140424053	112023_dilutions_Experiment_Plate_0_1000.fcs
112023	0 mM	2000 x	PI	112023_dilutions_Experiment_Plate_0_2000_p.fcs	25480	25371	15737	114	15701	0.9977123975344729	0.007244074474169156	112023_dilutions_Experiment_Plate_0_2000_p.fcs
112023	0 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_0_2000.fcs	30000	29487	18426	622	18385	0.997774883317052	0.03375664821447954	112023_dilutions_Experiment_Plate_0_2000.fcs
112023	0 mM	250 x	PI	112023_dilutions_Experiment_Plate_0_250_p.fcs	28533	28438	17403	188	17326	0.9955754754927312	0.010802735160604494	112023_dilutions_Experiment_Plate_0_250_p.fcs
112023	0 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_0_250.fcs	30000	29790	19395	13530	8150	0.4202113946893529	0.6976024748646559	112023_dilutions_Experiment_Plate_0_250.fcs
112023	0 mM	500 x	PI	112023_dilutions_Experiment_Plate_0_500_p.fcs	26361	26188	16250	139	16189	0.9962461538461539	0.008553846153846153	112023_dilutions_Experiment_Plate_0_500_p.fcs
112023	0 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_0_500.fcs	30000	29828	19110	3550	18679	0.9774463631606489	0.1857666143380429	112023_dilutions_Experiment_Plate_0_500.fcs
112023	10 mM	1000 x	PI	112023_dilutions_Experiment_Plate_10_1000_p.fcs	20805	20593	13159	144	13018	0.9892849000683942	0.010943080781214379	112023_dilutions_Experiment_Plate_10_1000_p.fcs
112023	10 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_10_1000.fcs	19488	19411	12385	1357	12175	0.98304400484457	0.1095680258377069	112023_dilutions_Experiment_Plate_10_1000.fcs
112023	10 mM	2000 x	PI	112023_dilutions_Experiment_Plate_10_2000_p.fcs	18932	18880	11165	129	11057	0.9903269144648456	0.01155396327810121	112023_dilutions_Experiment_Plate_10_2000_p.fcs
112023	10 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_10_2000.fcs	20694	20623	12774	595	12680	0.9926413026459997	0.0465789885705339	112023_dilutions_Experiment_Plate_10_2000.fcs
112023	10 mM	250 x	PI	112023_dilutions_Experiment_Plate_10_250_p.fcs	22196	22100	13620	195	13451	0.9875917767988253	0.014317180616740088	112023_dilutions_Experiment_Plate_10_250_p.fcs
112023	10 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_10_250.fcs	20299	20209	12315	7175	7849	0.6373528217620787	0.5826228177019894	112023_dilutions_Experiment_Plate_10_250.fcs
112023	10 mM	500 x	PI	112023_dilutions_Experiment_Plate_10_500_p.fcs	18186	18117	10792	113	10659	0.9876760563380281	0.010470719051149	112023_dilutions_Experiment_Plate_10_500_p.fcs
112023	10 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_10_500.fcs	20241	20179	12925	4244	11678	0.9035203094777563	0.3283558994197292	112023_dilutions_Experiment_Plate_10_500.fcs
112023	100 mM	1000 x	PI	112023_dilutions_Experiment_Plate_100_1000_p.fcs	20331	20295	12813	141	12502	0.9757277764770156	0.011004448606883634	112023_dilutions_Experiment_Plate_100_1000_p.fcs
112023	100 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_100_1000.fcs	18732	18683	11554	6992	8418	0.7285788471525013	0.6051583867059027	112023_dilutions_Experiment_Plate_100_1000.fcs
112023	100 mM	2000 x	PI	112023_dilutions_Experiment_Plate_100_2000_p.fcs	17873	17787	11231	131	11013	0.9805894399430148	0.011664143887454367	112023_dilutions_Experiment_Plate_100_2000_p.fcs
112023	100 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_100_2000.fcs	20682	20622	12907	1890	12635	0.9789261640970016	0.14643216859068722	112023_dilutions_Experiment_Plate_100_2000.fcs
112023	100 mM	250 x	PI	112023_dilutions_Experiment_Plate_100_250_p.fcs	21677	21570	13989	357	12544	0.8967045535778111	0.025520051469011366	112023_dilutions_Experiment_Plate_100_250_p.fcs
112023	100 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_100_250.fcs	22828	22703	14370	14224	257	0.017884481558803064	0.9898399443284621	112023_dilutions_Experiment_Plate_100_250.fcs
112023	100 mM	500 x	PI	112023_dilutions_Experiment_Plate_100_500_p.fcs	19032	18986	11970	199	11509	0.9614870509607352	0.016624895572263994	112023_dilutions_Experiment_Plate_100_500_p.fcs
112023	100 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_100_500.fcs	22206	22134	13565	12867	1982	0.14611131588647253	0.9485440471802433	112023_dilutions_Experiment_Plate_100_500.fcs
112023	1000 mM	1000 x	PI	112023_dilutions_Experiment_Plate_1000_1000_p.fcs	16236	16190	11070	1058	2	1.806684733514002e-4	0.09557362240289069	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
112023	1000 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_1000_1000.fcs	16832	16791	10648	8619	5032	0.47257700976709244	0.8094477836213373	112023_dilutions_Experiment_Plate_1000_1000.fcs
112023	1000 mM	2000 x	PI	112023_dilutions_Experiment_Plate_1000_2000_p.fcs	15900	15851	10583	1069	0	0	0.1010110554663139	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
112023	1000 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_1000_2000.fcs	16984	16935	10874	2407	10642	0.9786647048004414	0.22135368769542027	112023_dilutions_Experiment_Plate_1000_2000.fcs
112023	1000 mM	250 x	PI	112023_dilutions_Experiment_Plate_1000_250_p.fcs	16244	16177	10596	1021	15	0.0014156285390713476	0.09635711589278974	112023_dilutions_Experiment_Plate_1000_250_p.fcs
112023	1000 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_1000_250.fcs	18969	18874	12298	12294	58	0.0047162140185396	0.9996747438607904	112023_dilutions_Experiment_Plate_1000_250.fcs
112023	1000 mM	500 x	PI	112023_dilutions_Experiment_Plate_1000_500_p.fcs	16332	16268	11067	999	6	5.421523448088912e-4	0.0902683654106804	112023_dilutions_Experiment_Plate_1000_500_p.fcs
112023	1000 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_1000_500.fcs	19377	19303	12693	12579	652	0.05136689513905302	0.9910186717088159	112023_dilutions_Experiment_Plate_1000_500.fcs
112123	0 mM	1000 x	PI	112123_dilutions_Experiment_Plate_0_1000_p.fcs	19761	19673	13430	101	13338	0.9931496649292628	0.0075204765450483995	112123_dilutions_Experiment_Plate_0_1000_p.fcs
112123	0 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_0_1000.fcs	22064	21920	15218	1155	15110	0.9929031410172164	0.07589696412143514	112123_dilutions_Experiment_Plate_0_1000.fcs
112123	0 mM	2000 x	PI	112123_dilutions_Experiment_Plate_0_2000_p.fcs	20394	20319	13938	96	13880	0.9958387143062132	0.006887645286267757	112123_dilutions_Experiment_Plate_0_2000_p.fcs
112123	0 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_0_2000.fcs	26759	26466	18390	786	18293	0.9947253942359978	0.04274061990212072	112123_dilutions_Experiment_Plate_0_2000.fcs
112123	0 mM	250 x	PI	112123_dilutions_Experiment_Plate_0_250_p.fcs	18427	18344	12609	121	12535	0.9941311761440241	0.009596320088825442	112123_dilutions_Experiment_Plate_0_250_p.fcs
112123	0 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_0_250.fcs	18359	18083	12708	9037	4907	0.3861347182876928	0.7111268492288322	112123_dilutions_Experiment_Plate_0_250.fcs
112123	0 mM	500 x	PI	112123_dilutions_Experiment_Plate_0_500_p.fcs	19676	19568	13261	103	13184	0.9941934997360682	0.007767136716688033	112123_dilutions_Experiment_Plate_0_500_p.fcs
112123	0 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_0_500.fcs	21412	21264	14823	2706	14373	0.9696417729204615	0.18255413883829186	112123_dilutions_Experiment_Plate_0_500.fcs
112123	10 mM	1000 x	PI	112123_dilutions_Experiment_Plate_10_1000_p.fcs	17013	16900	11368	136	11181	0.9835503166783955	0.011963406052076003	112123_dilutions_Experiment_Plate_10_1000_p.fcs
112123	10 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_10_1000.fcs	11522	11432	7739	969	7586	0.9802300038764699	0.12520997544902443	112123_dilutions_Experiment_Plate_10_1000.fcs
112123	10 mM	2000 x	PI	112123_dilutions_Experiment_Plate_10_2000_p.fcs	18305	18119	12222	205	11961	0.9786450662739322	0.016773032236949762	112123_dilutions_Experiment_Plate_10_2000_p.fcs
112123	10 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_10_2000.fcs	18876	18752	12692	730	12621	0.994405924992121	0.05751654585565711	112123_dilutions_Experiment_Plate_10_2000.fcs
112123	10 mM	250 x	PI	112123_dilutions_Experiment_Plate_10_250_p.fcs	15889	15785	10617	167	10401	0.9796552698502402	0.0157294904398606	112123_dilutions_Experiment_Plate_10_250_p.fcs
112123	10 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_10_250.fcs	14077	13988	9387	7010	4695	0.5001597954618089	0.7467774581868541	112123_dilutions_Experiment_Plate_10_250.fcs
112123	10 mM	500 x	PI	112123_dilutions_Experiment_Plate_10_500_p.fcs	14968	14864	9894	134	9740	0.9844350111178493	0.013543561754598747	112123_dilutions_Experiment_Plate_10_500_p.fcs
112123	10 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_10_500.fcs	14607	14490	9754	3194	9015	0.9242362107853188	0.327455402911626	112123_dilutions_Experiment_Plate_10_500.fcs
112123	100 mM	1000 x	PI	112123_dilutions_Experiment_Plate_100_1000_p.fcs	20346	20272	13637	185	12733	0.9337097602111901	0.013566033585099361	112123_dilutions_Experiment_Plate_100_1000_p.fcs
112123	100 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_100_1000.fcs	18148	18072	12193	5660	9761	0.8005412941851883	0.4642007709341425	112123_dilutions_Experiment_Plate_100_1000.fcs
112123	100 mM	2000 x	PI	112123_dilutions_Experiment_Plate_100_2000_p.fcs	19738	19668	13323	198	12461	0.9352998573894769	0.014861517676199055	112123_dilutions_Experiment_Plate_100_2000_p.fcs
112123	100 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_100_2000.fcs	21661	21570	14337	1713	13864	0.9670084397014718	0.11948106298388785	112123_dilutions_Experiment_Plate_100_2000.fcs
112123	100 mM	250 x	PI	112123_dilutions_Experiment_Plate_100_250_p.fcs	15309	15261	10656	198	9696	0.9099099099099099	0.018581081081081082	112123_dilutions_Experiment_Plate_100_250_p.fcs
112123	100 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_100_250.fcs	19319	19009	13132	11696	1798	0.13691745354858362	0.8906487968321657	112123_dilutions_Experiment_Plate_100_250.fcs
112123	100 mM	500 x	PI	112123_dilutions_Experiment_Plate_100_500_p.fcs	17917	17869	11667	179	10811	0.9266306676952087	0.015342418788034627	112123_dilutions_Experiment_Plate_100_500_p.fcs
112123	100 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_100_500.fcs	17631	17489	11785	9683	3106	0.26355536699193893	0.8216376750106067	112123_dilutions_Experiment_Plate_100_500.fcs
112123	1000 mM	1000 x	PI	112123_dilutions_Experiment_Plate_1000_1000_p.fcs	19330	19255	13288	1316	1	7.525586995785671e-5	0.09903672486453943	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
112123	1000 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_1000_1000.fcs	20542	19880	13437	11459	6100	0.45397038029322023	0.8527945225868869	112123_dilutions_Experiment_Plate_1000_1000.fcs
112123	1000 mM	2000 x	PI	112123_dilutions_Experiment_Plate_1000_2000_p.fcs	17913	17833	12214	1230	4	3.274930407728836e-4	0.1007041100376617	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
112123	1000 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_1000_2000.fcs	20514	20435	14389	4324	13854	0.9628188199318924	0.30050733198971435	112123_dilutions_Experiment_Plate_1000_2000.fcs
112123	1000 mM	250 x	PI	112123_dilutions_Experiment_Plate_1000_250_p.fcs	16481	16420	11469	1181	21	0.0018310227569971226	0.10297323219112389	112123_dilutions_Experiment_Plate_1000_250_p.fcs
112123	1000 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_1000_250.fcs	1960	1865	1309	1209	384	0.293353705118411	0.9236058059587471	112123_dilutions_Experiment_Plate_1000_250.fcs
112123	1000 mM	500 x	PI	112123_dilutions_Experiment_Plate_1000_500_p.fcs	16586	16527	11165	1076	5	4.478280340349306e-4	0.09637259292431706	112123_dilutions_Experiment_Plate_1000_500_p.fcs
112123	1000 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_1000_500.fcs	9969	9907	7003	6936	475	0.06782807368270741	0.9904326717121233	112123_dilutions_Experiment_Plate_1000_500.fcs
112223	0 mM	1000 x	PI	112223_dilutions_Experiment_Plate_0_1000_p.fcs	22418	20708	13530	157	13089	0.9674057649667406	0.011603843311160385	112223_dilutions_Experiment_Plate_0_1000_p.fcs
112223	0 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_0_1000.fcs	21246	20688	13581	1951	13346	0.982696414107945	0.143656579044253	112223_dilutions_Experiment_Plate_0_1000.fcs
112223	0 mM	2000 x	PI	112223_dilutions_Experiment_Plate_0_2000_p.fcs	22300	20926	13759	140	13550	0.9848099425830366	0.010175158078348717	112223_dilutions_Experiment_Plate_0_2000_p.fcs
112223	0 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_0_2000.fcs	26329	25510	16954	1053	16843	0.9934528724784711	0.06210923675828713	112223_dilutions_Experiment_Plate_0_2000.fcs
112223	0 mM	250 x	PI	112223_dilutions_Experiment_Plate_0_250_p.fcs	20393	18379	12190	177	11970	0.9819524200164069	0.014520098441345365	112223_dilutions_Experiment_Plate_0_250_p.fcs
112223	0 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_0_250.fcs	23646	22688	15334	10273	8359	0.5451284726751011	0.6699491326464067	112223_dilutions_Experiment_Plate_0_250.fcs
112223	0 mM	500 x	PI	112223_dilutions_Experiment_Plate_0_500_p.fcs	25062	21525	14555	222	13725	0.9429749227069736	0.015252490553074545	112223_dilutions_Experiment_Plate_0_500_p.fcs
112223	0 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_0_500.fcs	23643	22501	14982	6067	13191	0.8804565478574289	0.4049526097984248	112223_dilutions_Experiment_Plate_0_500.fcs
112223	10 mM	1000 x	PI	112223_dilutions_Experiment_Plate_10_1000_p.fcs	18555	17916	11406	143	11290	0.9898299140803086	0.012537261090654042	112223_dilutions_Experiment_Plate_10_1000_p.fcs
