Date	Time	name
050624	0	050624_PI_Timecourse_Experiment_Tubes_0.fcs
050624	10	050624_PI_Timecourse_Experiment_Tubes_10.fcs
050624	15	050624_PI_Timecourse_Experiment_Tubes_15.fcs
050624	20	050624_PI_Timecourse_Experiment_Tubes_20.fcs
050624	25	050624_PI_Timecourse_Experiment_Tubes_25.fcs
050624	30	050624_PI_Timecourse_Experiment_Tubes_30.fcs
050624	35	050624_PI_Timecourse_Experiment_Tubes_35.fcs
050624	40	050624_PI_Timecourse_Experiment_Tubes_40.fcs
050624	45	050624_PI_Timecourse_Experiment_Tubes_45.fcs
050624	5	050624_PI_Timecourse_Experiment_Tubes_5.fcs
050624	50	050624_PI_Timecourse_Experiment_Tubes_50.fcs
050624	55	050624_PI_Timecourse_Experiment_Tubes_55.fcs
050724	0	050724_PI_Timecourse_Experiment_Tubes_0.fcs
050724	10	050724_PI_Timecourse_Experiment_Tubes_10.fcs
050724	15	050724_PI_Timecourse_Experiment_Tubes_15.fcs
050724	20	050724_PI_Timecourse_Experiment_Tubes_20.fcs
050724	25	050724_PI_Timecourse_Experiment_Tubes_25.fcs
050724	30	050724_PI_Timecourse_Experiment_Tubes_30.fcs
050724	35	050724_PI_Timecourse_Experiment_Tubes_35.fcs
050724	40	050724_PI_Timecourse_Experiment_Tubes_40.fcs
050724	45	050724_PI_Timecourse_Experiment_Tubes_45.fcs
050724	5	050724_PI_Timecourse_Experiment_Tubes_5.fcs
050724	50	050724_PI_Timecourse_Experiment_Tubes_50.fcs
050724	55	050724_PI_Timecourse_Experiment_Tubes_55.fcs
050824	0	050824_PI_Timecourse_Experiment_Tubes_0.fcs
050824	10	050824_PI_Timecourse_Experiment_Tubes_10.fcs
050824	15	050824_PI_Timecourse_Experiment_Tubes_15.fcs
050824	20	050824_PI_Timecourse_Experiment_Tubes_20.fcs
050824	25	050824_PI_Timecourse_Experiment_Tubes_25.fcs
050824	30	050824_PI_Timecourse_Experiment_Tubes_30.fcs
050824	35	050824_PI_Timecourse_Experiment_Tubes_35.fcs
050824	40	050824_PI_Timecourse_Experiment_Tubes_40.fcs
050824	45	050824_PI_Timecourse_Experiment_Tubes_45.fcs
050824	5	050824_PI_Timecourse_Experiment_Tubes_5.fcs
050824	50	050824_PI_Timecourse_Experiment_Tubes_50.fcs
050824	55	050824_PI_Timecourse_Experiment_Tubes_55.fcs
