Date	Treatment	Ratio	sample	n_root	n_cells	n_singlet	n_live	percent_Live	name
050924	0 mM	1:1	050924_Ratio_Experiment_Plate_0_1t1.fcs	30000	29891	18571	18204	0.9802380054924344	050924_Ratio_Experiment_Plate_0_1t1.fcs
050924	0 mM	1:2	050924_Ratio_Experiment_Plate_0_1t2.fcs	30000	29898	17379	17184	0.9887795615397894	050924_Ratio_Experiment_Plate_0_1t2.fcs
050924	0 mM	2:1	050924_Ratio_Experiment_Plate_0_2t1.fcs	30000	29898	18014	17528	0.9730209836793605	050924_Ratio_Experiment_Plate_0_2t1.fcs
050924	10 mM	1:1	050924_Ratio_Experiment_Plate_10_1t1.fcs	30000	29750	17700	17408	0.9835028248587571	050924_Ratio_Experiment_Plate_10_1t1.fcs
050924	10 mM	1:2	050924_Ratio_Experiment_Plate_10_1t2.fcs	30000	29778	16581	16328	0.9847415716784271	050924_Ratio_Experiment_Plate_10_1t2.fcs
050924	10 mM	2:1	050924_Ratio_Experiment_Plate_10_2t1.fcs	30000	29735	18425	18135	0.9842605156037992	050924_Ratio_Experiment_Plate_10_2t1.fcs
050924	100 mM	1:1	050924_Ratio_Experiment_Plate_100_1t1.fcs	30000	29862	18205	15817	0.8688272452622906	050924_Ratio_Experiment_Plate_100_1t1.fcs
050924	100 mM	1:2	050924_Ratio_Experiment_Plate_100_1t2.fcs	30000	29832	18462	16319	0.8839237352399524	050924_Ratio_Experiment_Plate_100_1t2.fcs
050924	100 mM	2:1	050924_Ratio_Experiment_Plate_100_2t1.fcs	30000	29836	18185	15468	0.8505911465493539	050924_Ratio_Experiment_Plate_100_2t1.fcs
050924	1000 mM	1:1	050924_Ratio_Experiment_Plate_1000_1t1.fcs	30000	29798	18014	20	0.001110247585211502	050924_Ratio_Experiment_Plate_1000_1t1.fcs
050924	1000 mM	1:2	050924_Ratio_Experiment_Plate_1000_1t2.fcs	30000	29804	18222	7	3.8415102623202724e-4	050924_Ratio_Experiment_Plate_1000_1t2.fcs
050924	1000 mM	2:1	050924_Ratio_Experiment_Plate_1000_2t1.fcs	30000	29808	17969	9	5.008625966943068e-4	050924_Ratio_Experiment_Plate_1000_2t1.fcs
051024	0 mM	1:1	051024_Ratio_Experiment_Plate_0_1t1.fcs	30000	29891	18283	18033	0.9863260952797681	051024_Ratio_Experiment_Plate_0_1t1.fcs
051024	0 mM	1:2	051024_Ratio_Experiment_Plate_0_1t2.fcs	30000	29913	19003	18847	0.9917907698784403	051024_Ratio_Experiment_Plate_0_1t2.fcs
051024	0 mM	2:1	051024_Ratio_Experiment_Plate_0_2t1.fcs	30000	29914	18686	17960	0.9611473830675372	051024_Ratio_Experiment_Plate_0_2t1.fcs
051024	10 mM	1:1	051024_Ratio_Experiment_Plate_10_1t1.fcs	30000	29813	17921	17714	0.9884493052843033	051024_Ratio_Experiment_Plate_10_1t1.fcs
051024	10 mM	1:2	051024_Ratio_Experiment_Plate_10_1t2.fcs	30000	29803	18109	17938	0.9905571815119554	051024_Ratio_Experiment_Plate_10_1t2.fcs
051024	10 mM	2:1	051024_Ratio_Experiment_Plate_10_2t1.fcs	30000	29738	17965	17672	0.983690509323685	051024_Ratio_Experiment_Plate_10_2t1.fcs
