Date	Time	FSC.A	SSC.A	FSC.H	SSC.H	BL1.H	BL3.H	FSC.W	SSC.W	name
120423	0	407469	252798	409616	250398	3319	136	109	103	120423_SYTO9 Timeline_Experiment_Tubes_0.fcs
120423	10	397721.5	256159.5	399542.5	254491	10195.5	296	108	103	120423_SYTO9 Timeline_Experiment_Tubes_10.fcs
120423	15	398129	257006	400111	255121	10074	293	108	103	120423_SYTO9 Timeline_Experiment_Tubes_15.fcs
120423	20	395017	255191	397306	253636	10435	303	107	103	120423_SYTO9 Timeline_Experiment_Tubes_20.fcs
120423	25	391740	253252	394259	251631	9813	287	108	103	120423_SYTO9 Timeline_Experiment_Tubes_25.fcs
120423	30	390302	250683	392781	248899	10221	301	107	103	120423_SYTO9 Timeline_Experiment_Tubes_30.fcs
120423	35	383576	246707	386094	244734	9673	289	108	103	120423_SYTO9 Timeline_Experiment_Tubes_35.fcs
120423	40	384777	246121	386800	244240	10191	301	108	103	120423_SYTO9 Timeline_Experiment_Tubes_40.fcs
120423	45	377798	241138	380523	239488	11157	328	106	102	120423_SYTO9 Timeline_Experiment_Tubes_45.fcs
120423	5	399490	254159	401997	251821	8349	251	108	103	120423_SYTO9 Timeline_Experiment_Tubes_5.fcs
120423	50	372583	236259	374405	233511	12403	367	107	102	120423_SYTO9 Timeline_Experiment_Tubes_50.fcs
120423	55	368515	227284	371186	225644	14957	436	105	101	120423_SYTO9 Timeline_Experiment_Tubes_55.fcs
121323	0	418558	264679.5	418640.5	260212.5	1757	81	108	104	121323_SYTO9 Timeline_Experiment_Tubes_0.fcs
121323	10	399735	263372	398601	259306	12720	362	109	103	121323_SYTO9 Timeline_Experiment_Tubes_10.fcs
121323	15	394172.5	259617	393154	255560.5	13728.5	392	108	103	121323_SYTO9 Timeline_Experiment_Tubes_15.fcs
121323	20	389087	254249	388049	250511	12944	370	108	103	121323_SYTO9 Timeline_Experiment_Tubes_20.fcs
121323	25	390061	253298	388821	249171	12298	355	108	103	121323_SYTO9 Timeline_Experiment_Tubes_25.fcs
121323	30	388111	249948	387049	246006	11457	333	108	103	121323_SYTO9 Timeline_Experiment_Tubes_30.fcs
121323	35	388576	250050	387691	245863	11402	334	108	103	121323_SYTO9 Timeline_Experiment_Tubes_35.fcs
121323	40	387046.5	248749.5	385846.5	244451.5	10261	304	108	103	121323_SYTO9 Timeline_Experiment_Tubes_40.fcs
121323	45	385010	247120	383695	243168	10055	299	108	103	121323_SYTO9 Timeline_Experiment_Tubes_45.fcs
121323	5	401749.5	263974	400707	259484.5	10473.5	303	109	104	121323_SYTO9 Timeline_Experiment_Tubes_5.fcs
121323	50	381519.5	242524	380201.5	238197.5	9972.5	297	108	103	121323_SYTO9 Timeline_Experiment_Tubes_50.fcs
121323	55	376190	239648	375047	236200	10431	311	108	103	121323_SYTO9 Timeline_Experiment_Tubes_55.fcs
121323	60	371702	233722	370371	230207	12056	353	108	103	121323_SYTO9 Timeline_Experiment_Tubes_60.fcs
121423	0	422952	277270	416004	268553	1120	72	111	105	121423_SYTO9 Timeline_Experiment_Tubes_0.fcs
121423	10	420844	291327	412998	281903	12240	348	111	105	121423_SYTO9 Timeline_Experiment_Tubes_10.fcs
121423	15	418164.5	289577	410898	280300	13898	392	111	105	121423_SYTO9 Timeline_Experiment_Tubes_15.fcs
121423	20	416113	287122	408829	278138	12155.5	346	111	105	121423_SYTO9 Timeline_Experiment_Tubes_20.fcs
121423	25	417905.5	286322.5	409785	276905	12207	349	110	105	121423_SYTO9 Timeline_Experiment_Tubes_25.fcs
121423	30	414134	281808.5	406589	272999.5	11810.5	339	110	105	121423_SYTO9 Timeline_Experiment_Tubes_30.fcs
121423	35	409213.5	275826	401382	267356.5	10923.5	316	110	105	121423_SYTO9 Timeline_Experiment_Tubes_35.fcs
121423	40	406274	274221	398389	265074	10409	302	110	105	121423_SYTO9 Timeline_Experiment_Tubes_40.fcs
121423	45	397069	265015	391029	256971	10658	306	110	104	121423_SYTO9 Timeline_Experiment_Tubes_45.fcs
121423	5	421057.5	293281.5	413229.5	283931.5	11048.5	315	111	105	121423_SYTO9 Timeline_Experiment_Tubes_5.fcs
121423	50	394794	262252.5	388905	254499	9768.5	286	109	104	121423_SYTO9 Timeline_Experiment_Tubes_50.fcs
121423	55	386207.5	255169	380997	248070	9919	290	109	104	121423_SYTO9 Timeline_Experiment_Tubes_55.fcs
121423	60	388348	256284	383510	248976	10684	312	109	104	121423_SYTO9 Timeline_Experiment_Tubes_60.fcs
121523	0	392821	231069	392823	226952	1973	88	108	103	121523_SYTO9 Timeline_Experiment_Tubes_0.fcs
121523	10	390238.5	255074	386871	249295	15457	439	109	103	121523_SYTO9 Timeline_Experiment_Tubes_10.fcs
