Date	Treatment	Dilution	Dye	sample	n_root	n_cells	n_singlet	n_RedPositive	percent_RP	name
112023	0 mM	1000 x	PI	112023_dilutions_Experiment_Plate_0_1000_p.fcs	26106	26050	15889	53	0.00333564100950343	112023_dilutions_Experiment_Plate_0_1000_p.fcs
112023	0 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_0_1000.fcs	27131	27031	17262	34	0.001969644305410729	112023_dilutions_Experiment_Plate_0_1000.fcs
112023	0 mM	2000 x	PI	112023_dilutions_Experiment_Plate_0_2000_p.fcs	25480	25371	15737	46	0.0029230475948401856	112023_dilutions_Experiment_Plate_0_2000_p.fcs
112023	0 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_0_2000.fcs	30000	29487	18426	11	5.969825246933681e-4	112023_dilutions_Experiment_Plate_0_2000.fcs
112023	0 mM	250 x	PI	112023_dilutions_Experiment_Plate_0_250_p.fcs	28533	28438	17403	105	0.006033442509912084	112023_dilutions_Experiment_Plate_0_250_p.fcs
112023	0 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_0_250.fcs	30000	29790	19395	219	0.011291569992266048	112023_dilutions_Experiment_Plate_0_250.fcs
112023	0 mM	500 x	PI	112023_dilutions_Experiment_Plate_0_500_p.fcs	26361	26188	16250	70	0.0043076923076923075	112023_dilutions_Experiment_Plate_0_500_p.fcs
112023	0 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_0_500.fcs	30000	29828	19110	296	0.015489272632129776	112023_dilutions_Experiment_Plate_0_500.fcs
112023	10 mM	1000 x	PI	112023_dilutions_Experiment_Plate_10_1000_p.fcs	20805	20593	13159	148	0.011247055247359222	112023_dilutions_Experiment_Plate_10_1000_p.fcs
112023	10 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_10_1000.fcs	19488	19411	12385	69	0.005571255551069842	112023_dilutions_Experiment_Plate_10_1000.fcs
112023	10 mM	2000 x	PI	112023_dilutions_Experiment_Plate_10_2000_p.fcs	18932	18880	11165	114	0.010210479175996417	112023_dilutions_Experiment_Plate_10_2000_p.fcs
112023	10 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_10_2000.fcs	20694	20623	12774	19	0.0014873962736809143	112023_dilutions_Experiment_Plate_10_2000.fcs
112023	10 mM	250 x	PI	112023_dilutions_Experiment_Plate_10_250_p.fcs	22196	22100	13620	198	0.014537444933920705	112023_dilutions_Experiment_Plate_10_250_p.fcs
112023	10 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_10_250.fcs	20299	20209	12315	243	0.019732034104750305	112023_dilutions_Experiment_Plate_10_250.fcs
112023	10 mM	500 x	PI	112023_dilutions_Experiment_Plate_10_500_p.fcs	18186	18117	10792	140	0.012972572275759823	112023_dilutions_Experiment_Plate_10_500_p.fcs
112023	10 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_10_500.fcs	20241	20179	12925	334	0.02584139264990329	112023_dilutions_Experiment_Plate_10_500.fcs
112023	100 mM	1000 x	PI	112023_dilutions_Experiment_Plate_100_1000_p.fcs	20331	20295	12813	329	0.025677046749395145	112023_dilutions_Experiment_Plate_100_1000_p.fcs
