Date	Treatment	sample	n_root	n_cells	n_singlet	n_dead	n_live	n_Intermediate	percent_dead	percent_live	percent_inter	FGS	name
120623	0	120623_FGL Cor_Experiment_Plate_0.fcs	27595	27450	17284	1585	788	16262	0.09170330941911595	0.045591298310576255	0.9408701689423744	0.4243230733626475	120623_FGL Cor_Experiment_Plate_0.fcs
120623	100	120623_FGL Cor_Experiment_Plate_100.fcs	10092	10012	6321	233	1374	4796	0.03686125613035912	0.21737066919791173	0.7587407055845594	0.5598797658598322	120623_FGL Cor_Experiment_Plate_100.fcs
120623	1000	120623_FGL Cor_Experiment_Plate_1000.fcs	8602	8510	5538	5528	7	1895	0.9981942939689419	0.0012639942217407005	0.34218129288551824	-0.8258396533044421	120623_FGL Cor_Experiment_Plate_1000.fcs
120623	20	120623_FGL Cor_Experiment_Plate_20.fcs	10880	10751	6967	189	4749	2099	0.027127888617769484	0.6816420266972872	0.3012774508396727	0.8051528634993541	120623_FGL Cor_Experiment_Plate_20.fcs
120623	40	120623_FGL Cor_Experiment_Plate_40.fcs	12303	12220	7902	247	6015	1649	0.031257909390027844	0.761199696279423	0.20868134649455833	0.8342824601366743	120623_FGL Cor_Experiment_Plate_40.fcs
120623	60	120623_FGL Cor_Experiment_Plate_60.fcs	9310	8997	5772	196	3559	2034	0.03395703395703396	0.6165973665973666	0.3523908523908524	0.7588357588357588	120623_FGL Cor_Experiment_Plate_60.fcs
120623	80	120623_FGL Cor_Experiment_Plate_80.fcs	11812	11739	7468	271	3085	4197	0.03628816282806642	0.4130958757364756	0.5619978575254418	0.6578066416711301	120623_FGL Cor_Experiment_Plate_80.fcs
121123	0	121123_FGL Cor_Experiment_Plate_0.fcs	25912	25781	16779	1428	905	15762	0.0851063829787234	0.053936468204303	0.9393885213659932	0.43852434590857614	121123_FGL Cor_Experiment_Plate_0.fcs
121123	100	121123_FGL Cor_Experiment_Plate_100.fcs	23733	23652	15435	547	1960	9540	0.0354389374797538	0.12698412698412698	0.6180758017492711	0.40058309037900874	121123_FGL Cor_Experiment_Plate_100.fcs
121123	1000	121123_FGL Cor_Experiment_Plate_1000.fcs	20455	20319	13739	13696	6	7448	0.9968702234514885	4.367130067690516e-4	0.5421064124026493	-0.7253803042433947	121123_FGL Cor_Experiment_Plate_1000.fcs
121123	20	121123_FGL Cor_Experiment_Plate_20.fcs	22280	22072	14489	747	8302	5787	0.05155635309545172	0.5729864034785009	0.3994064462695838	0.7211332735178412	121123_FGL Cor_Experiment_Plate_20.fcs
121123	40	121123_FGL Cor_Experiment_Plate_40.fcs	20936	20859	13774	556	7967	5326	0.04036590678089153	0.5784085959053289	0.3866705386960941	0.7313779584724843	121123_FGL Cor_Experiment_Plate_40.fcs
121123	60	121123_FGL Cor_Experiment_Plate_60.fcs	23934	23822	15563	660	6824	7532	0.04240827603932404	0.43847587226113216	0.4839683865578616	0.6380517895007389	121123_FGL Cor_Experiment_Plate_60.fcs
121123	80	121123_FGL Cor_Experiment_Plate_80.fcs	25046	24965	16262	770	3577	9912	0.047349649489607674	0.21996064444717747	0.6095191243389497	0.4773705571270446	121123_FGL Cor_Experiment_Plate_80.fcs
121223	0	121223_FGL Cor_Experiment_Plate_0.fcs	23092	22822	15453	1066	240	11348	0.06898336892512781	0.015530964861192001	0.7343557885200285	0.3137254901960784	121223_FGL Cor_Experiment_Plate_0.fcs
121223	100	121223_FGL Cor_Experiment_Plate_100.fcs	20891	20710	14032	572	1304	9711	0.04076396807297605	0.09293044469783353	0.6920610034207526	0.39819697833523376	121223_FGL Cor_Experiment_Plate_100.fcs
121223	1000	121223_FGL Cor_Experiment_Plate_1000.fcs	14820	14776	10313	10288	10	5938	0.9975758751090856	9.696499563657519e-4	0.5757781440899835	-0.7087171531077281	121223_FGL Cor_Experiment_Plate_1000.fcs
121223	20	121223_FGL Cor_Experiment_Plate_20.fcs	18574	18523	12608	368	6007	6332	0.02918781725888325	0.47644352791878175	0.5022208121827412	0.6983661167512691	121223_FGL Cor_Experiment_Plate_20.fcs
121223	40	121223_FGL Cor_Experiment_Plate_40.fcs	19497	19446	13555	417	5924	6676	0.030763555883437845	0.43703430468461824	0.49251198819623754	0.6525267428992991	121223_FGL Cor_Experiment_Plate_40.fcs
121223	60	121223_FGL Cor_Experiment_Plate_60.fcs	18088	18048	12277	395	4006	6997	0.0321739838722815	0.3263012136515435	0.5699275067198827	0.5790909831392034	121223_FGL Cor_Experiment_Plate_60.fcs
121223	80	121223_FGL Cor_Experiment_Plate_80.fcs	19862	19807	13508	524	2614	8376	0.0387918270654427	0.1935149541012733	0.6200769914124963	0.4647616227420788	121223_FGL Cor_Experiment_Plate_80.fcs
