Date	Treatment	name
120623	0	120623_FGL Cor_Experiment_Plate_0.fcs
120623	100	120623_FGL Cor_Experiment_Plate_100.fcs
120623	1000	120623_FGL Cor_Experiment_Plate_1000.fcs
120623	20	120623_FGL Cor_Experiment_Plate_20.fcs
120623	40	120623_FGL Cor_Experiment_Plate_40.fcs
120623	60	120623_FGL Cor_Experiment_Plate_60.fcs
120623	80	120623_FGL Cor_Experiment_Plate_80.fcs
121123	0	121123_FGL Cor_Experiment_Plate_0.fcs
121123	100	121123_FGL Cor_Experiment_Plate_100.fcs
121123	1000	121123_FGL Cor_Experiment_Plate_1000.fcs
121123	20	121123_FGL Cor_Experiment_Plate_20.fcs
121123	40	121123_FGL Cor_Experiment_Plate_40.fcs
121123	60	121123_FGL Cor_Experiment_Plate_60.fcs
121123	80	121123_FGL Cor_Experiment_Plate_80.fcs
121223	0	121223_FGL Cor_Experiment_Plate_0.fcs
121223	100	121223_FGL Cor_Experiment_Plate_100.fcs
121223	1000	121223_FGL Cor_Experiment_Plate_1000.fcs
121223	20	121223_FGL Cor_Experiment_Plate_20.fcs
121223	40	121223_FGL Cor_Experiment_Plate_40.fcs
121223	60	121223_FGL Cor_Experiment_Plate_60.fcs
121223	80	121223_FGL Cor_Experiment_Plate_80.fcs
