Date	Treatment	Dye	name
011124	0 mM	PI	011124_Dye Order_Experiment_Plate_0_p.fcs
011124	0 mM	PI_first	011124_Dye Order_Experiment_Plate_0_pf.fcs
011124	0 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_0_sf.fcs
011124	10 mM	PI	011124_Dye Order_Experiment_Plate_10_p.fcs
011124	10 mM	PI_first	011124_Dye Order_Experiment_Plate_10_pf.fcs
011124	10 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_10_sf.fcs
011124	100 mM	PI	011124_Dye Order_Experiment_Plate_100_p.fcs
011124	100 mM	PI_first	011124_Dye Order_Experiment_Plate_100_pf.fcs
011124	100 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_100_sf.fcs
011124	1000 mM	PI	011124_Dye Order_Experiment_Plate_1000_p.fcs
011124	1000 mM	PI_first	011124_Dye Order_Experiment_Plate_1000_pf.fcs
011124	1000 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_1000_sf.fcs
011524	0 mM	PI	011524_Dye Order_Experiment_Plate_0_p.fcs
011524	0 mM	PI_first	011524_Dye Order_Experiment_Plate_0_pf.fcs
011524	0 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_0_sf.fcs
011524	10 mM	PI	011524_Dye Order_Experiment_Plate_10_p.fcs
011524	10 mM	PI_first	011524_Dye Order_Experiment_Plate_10_pf.fcs
011524	10 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_10_sf.fcs
011524	100 mM	PI	011524_Dye Order_Experiment_Plate_100_p.fcs
011524	100 mM	PI_first	011524_Dye Order_Experiment_Plate_100_pf.fcs
011524	100 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_100_sf.fcs
011524	1000 mM	PI	011524_Dye Order_Experiment_Plate_1000_p.fcs
011524	1000 mM	PI_first	011524_Dye Order_Experiment_Plate_1000_pf.fcs
011524	1000 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_1000_sf.fcs
011624	0 mM	PI	011624_Dye Order_Experiment_Plate_0_p.fcs
011624	0 mM	PI_first	011624_Dye Order_Experiment_Plate_0_pf.fcs
011624	0 mM	SYTO9_first	011624_Dye Order_Experiment_Plate_0_sf.fcs
011624	10 mM	PI	011624_Dye Order_Experiment_Plate_10_p.fcs
011624	10 mM	PI_first	011624_Dye Order_Experiment_Plate_10_pf.fcs
011624	10 mM	SYTO9_first	011624_Dye Order_Experiment_Plate_10_sf.fcs
011624	100 mM	PI	011624_Dye Order_Experiment_Plate_100_p.fcs
011624	100 mM	PI_first	011624_Dye Order_Experiment_Plate_100_pf.fcs
011624	100 mM	SYTO9_first	011624_Dye Order_Experiment_Plate_100_sf.fcs
011624	1000 mM	PI	011624_Dye Order_Experiment_Plate_1000_p.fcs
011624	1000 mM	PI_first	011624_Dye Order_Experiment_Plate_1000_pf.fcs
011624	1000 mM	SYTO9_first	011624_Dye Order_Experiment_Plate_1000_sf.fcs
