Date	Treatment	Dye	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	percent_Dead	percent_Live	percent_inter	FSC.A	SSC.A	FSC.H	SSC.H	BL1.H	BL3.H	FSC.W	SSC.W	name
011124	0 mM	PI	011124_Dye Order_Experiment_Plate_0_p.fcs	30000	29922	19528	19395	0	0	0	0.9931892666939779	0	NA	NA	NA	NA	NA	NA	NA	NA	011124_Dye Order_Experiment_Plate_0_p.fcs
011124	0 mM	PI_first	011124_Dye Order_Experiment_Plate_0_pf.fcs	30000	29939	19441	13184	6053	202	0.010390412015842806	0.6781544159251067	0.311352296692557	447189	323431.5	448286	319143	7349.5	238	111	105	011124_Dye Order_Experiment_Plate_0_pf.fcs
011124	0 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_0_sf.fcs	30000	29908	18713	15152	3422	134	0.007160797306685192	0.8097044835141346	0.18286752524982633	496172	357378	495117	352922	5424	203	114	107	011124_Dye Order_Experiment_Plate_0_sf.fcs
011124	10 mM	PI	011124_Dye Order_Experiment_Plate_10_p.fcs	30000	29865	18666	18474	0	0	0	0.989713918354227	0	NA	NA	NA	NA	NA	NA	NA	NA	011124_Dye Order_Experiment_Plate_10_p.fcs
011124	10 mM	PI_first	011124_Dye Order_Experiment_Plate_10_pf.fcs	30000	29902	18427	15428	2832	166	0.009008520106365658	0.8372496879578879	0.15368752374233463	651917	465554	635018.5	448286.5	4111	186	119	112	011124_Dye Order_Experiment_Plate_10_pf.fcs
011124	10 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_10_sf.fcs	30000	29800	19689	16663	2806	208	0.010564274467977043	0.8463101224033724	0.142516125755498	676049	493736	661643	477148	4114	185	119	113	011124_Dye Order_Experiment_Plate_10_sf.fcs
011124	100 mM	PI	011124_Dye Order_Experiment_Plate_100_p.fcs	30000	29944	19230	18953	0	0	0	0.9855954238169526	0	NA	NA	NA	NA	NA	NA	NA	NA	011124_Dye Order_Experiment_Plate_100_p.fcs
011124	100 mM	PI_first	011124_Dye Order_Experiment_Plate_100_pf.fcs	30000	29934	18932	10002	8580	340	0.017959011197971688	0.5283118529473907	0.4532009296429326	447215	301147	445555	295941	8578	254	111	105	011124_Dye Order_Experiment_Plate_100_pf.fcs
011124	100 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_100_sf.fcs	30000	29942	18264	6862	11124	267	0.01461892247043364	0.3757117827420061	0.6090670170827858	430591.5	291073.5	433597.5	288315	11324	338	110	104	011124_Dye Order_Experiment_Plate_100_sf.fcs
011124	1000 mM	PI	011124_Dye Order_Experiment_Plate_1000_p.fcs	30000	29924	19062	20	0	0	0	0.0010492078480747037	0	NA	NA	NA	NA	NA	NA	NA	NA	011124_Dye Order_Experiment_Plate_1000_p.fcs
011124	1000 mM	PI_first	011124_Dye Order_Experiment_Plate_1000_pf.fcs	30000	29896	19532	8	8	14754	0.7553757935695269	4.0958427196395656e-4	4.0958427196395656e-4	276544	230320	297510	233519	5575	264	101	99	011124_Dye Order_Experiment_Plate_1000_pf.fcs
011124	1000 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_1000_sf.fcs	30000	29924	18908	5	9	7997	0.42294266976940975	2.644383329807489e-4	4.75988999365348e-4	269627	193975	282126	200616.5	5766.5	277.5	95.5	97	011124_Dye Order_Experiment_Plate_1000_sf.fcs
011524	0 mM	PI	011524_Dye Order_Experiment_Plate_0_p.fcs	30000	29939	18782	18731	0	0	0	0.9972846342242573	0	NA	NA	NA	NA	NA	NA	NA	NA	011524_Dye Order_Experiment_Plate_0_p.fcs
011524	0 mM	PI_first	011524_Dye Order_Experiment_Plate_0_pf.fcs	30000	29879	19508	9969	9414	120	0.006151322534344884	0.5110211195407013	0.48257125281935614	421849	300414	424167	297722	10101	304	109	105	011524_Dye Order_Experiment_Plate_0_pf.fcs
011524	0 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_0_sf.fcs	30000	29933	19692	11911	7701	75	0.003808653260207191	0.6048649197643713	0.39107251675807436	428147	301190	429457	297988	8954	268	109	105	011524_Dye Order_Experiment_Plate_0_sf.fcs
011524	10 mM	PI	011524_Dye Order_Experiment_Plate_10_p.fcs	30000	29757	18359	18114	0	0	0	0.986655046571164	0	NA	NA	NA	NA	NA	NA	NA	NA	011524_Dye Order_Experiment_Plate_10_p.fcs
011524	10 mM	PI_first	011524_Dye Order_Experiment_Plate_10_pf.fcs	30000	29728	18051	14502	3205	315	0.017450556755858403	0.8033903938839954	0.17755249016674976	672946	492163.5	651902.5	470366.5	4310.5	188	121	114	011524_Dye Order_Experiment_Plate_10_pf.fcs
011524	10 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_10_sf.fcs	30000	29703	18722	14955	3479	269	0.014368123063775237	0.7987928640102553	0.18582416408503366	634839	462357	618666	445577	4432	190	118	112	011524_Dye Order_Experiment_Plate_10_sf.fcs
011524	100 mM	PI	011524_Dye Order_Experiment_Plate_100_p.fcs	30000	29938	18270	18080	0	0	0	0.9896004378762999	0	NA	NA	NA	NA	NA	NA	NA	NA	011524_Dye Order_Experiment_Plate_100_p.fcs
011524	100 mM	PI_first	011524_Dye Order_Experiment_Plate_100_pf.fcs	30000	29797	19172	7557	11221	384	0.020029209263509283	0.3941685791779679	0.5852806175672857	407874	265292	408215	261522	10390	303	109	104	011524_Dye Order_Experiment_Plate_100_pf.fcs
011524	100 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_100_sf.fcs	30000	29953	19987	6096	13652	229	0.011457447340771502	0.30499824886176014	0.6830439785860809	412692	270483.5	415101	266999.5	12679	370	109	104	011524_Dye Order_Experiment_Plate_100_sf.fcs
011524	1000 mM	PI	011524_Dye Order_Experiment_Plate_1000_p.fcs	30000	29956	18886	31	0	0	0	0.0016414275124430795	0	NA	NA	NA	NA	NA	NA	NA	NA	011524_Dye Order_Experiment_Plate_1000_p.fcs
011524	1000 mM	PI_first	011524_Dye Order_Experiment_Plate_1000_pf.fcs	30000	29944	20239	4	1	17475	0.8634319877464302	1.9763822323237313e-4	4.940955580809328e-5	357559.5	269500	361713.5	271597	7954	192.5	110.5	101.5	011524_Dye Order_Experiment_Plate_1000_pf.fcs
011524	1000 mM	SYTO9_first	011524_Dye Order_Experiment_Plate_1000_sf.fcs	30000	29961	20661	8	7	12836	0.6212671216301244	3.872029427423648e-4	3.388025748995692e-4	385749	234883	383343	233620.5	9595	277	115	105.5	011524_Dye Order_Experiment_Plate_1000_sf.fcs
011624	0 mM	PI	011624_Dye Order_Experiment_Plate_0_p.fcs	30000	29962	18585	18546	0	0	0	0.9979015334947539	0	NA	NA	NA	NA	NA	NA	NA	NA	011624_Dye Order_Experiment_Plate_0_p.fcs
