Date	Treatment	Dye	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	n_PIDead	percent_Dead	percent_Live	percent_inter	FGS	name
021424	0	Both	021424_Log Corre(1)_Experiment_Plate_0_b.fcs	30000	29891	19506	19317	54	123	91	0.006305752076284221	0.9903106736388804	0.0027683789603199014	0.9853891110427561	021424_Log Corre(1)_Experiment_Plate_0_b.fcs
021424	0	PI	021424_Log Corre(1)_Experiment_Plate_0_p.fcs	30000	29920	18226	18035	0	0	199	0	0.9895204652693954	0	0.9895204652693954	021424_Log Corre(1)_Experiment_Plate_0_p.fcs
021424	10	Both	021424_Log Corre(1)_Experiment_Plate_10_b.fcs	30000	29731	18878	18464	124	265	346	0.014037503972878482	0.9780697107744465	0.006568492425045026	0.9673164530140905	021424_Log Corre(1)_Experiment_Plate_10_b.fcs
021424	10	PI	021424_Log Corre(1)_Experiment_Plate_10_p.fcs	30000	29098	17903	17404	0	0	537	0	0.9721275763838463	0	0.9721275763838463	021424_Log Corre(1)_Experiment_Plate_10_p.fcs
021424	100	Both	021424_Log Corre(1)_Experiment_Plate_100_b.fcs	30000	29865	19398	8230	10789	302	437	0.01556861532116713	0.42427054335498504	0.5561913599340138	0.6867976080008248	021424_Log Corre(1)_Experiment_Plate_100_b.fcs
021424	100	PI	021424_Log Corre(1)_Experiment_Plate_100_p.fcs	30000	29729	19074	18758	0	0	330	0	0.9834329453706616	0	0.9834329453706616	021424_Log Corre(1)_Experiment_Plate_100_p.fcs
021424	1000	Both	021424_Log Corre(1)_Experiment_Plate_1000_b.fcs	30000	29759	19824	15	1	2729	19811	0.13766142050040356	7.566585956416465e-4	5.0443906376109764e-5	-0.13687953995157387	021424_Log Corre(1)_Experiment_Plate_1000_b.fcs
021424	1000	PI	021424_Log Corre(1)_Experiment_Plate_1000_p.fcs	30000	29744	18218	31	0	0	18187	0	0.001701613788560764	0	0.001701613788560764	021424_Log Corre(1)_Experiment_Plate_1000_p.fcs
021424	5C	Both	021424_Log Corre(1)_Experiment_Plate_5C_b.fcs	30000	29757	18656	18321	69	244	172	0.013078902229845627	0.9820433104631218	0.003698542024013722	0.970813679245283	021424_Log Corre(1)_Experiment_Plate_5C_b.fcs
021424	5C	PI	021424_Log Corre(1)_Experiment_Plate_5C_p.fcs	30000	29804	19511	19209	0	0	314	0	0.9845215519450566	0	0.9845215519450566	021424_Log Corre(1)_Experiment_Plate_5C_p.fcs
021624	0	Both	021624_Log Corre(2)_Experiment_Plate_0_b.fcs	30000	29897	19295	19070	152	62	316	0.0032132676859289973	0.9883389479139674	0.007877688520342058	0.9890645244882094	021624_Log Corre(2)_Experiment_Plate_0_b.fcs
021624	0	PI	021624_Log Corre(2)_Experiment_Plate_0_p.fcs	30000	29917	18671	18584	0	0	98	0	0.9953403674147073	0	0.9953403674147073	021624_Log Corre(2)_Experiment_Plate_0_p.fcs
021624	10	Both	021624_Log Corre(2)_Experiment_Plate_10_b.fcs	30000	29834	18492	17966	323	164	764	0.008868699978369024	0.9715552671425481	0.01746701276227558	0.9714200735453169	021624_Log Corre(2)_Experiment_Plate_10_b.fcs
021624	10	PI	021624_Log Corre(2)_Experiment_Plate_10_p.fcs	30000	29823	18092	17887	0	0	217	0	0.9886690249834181	0	0.9886690249834181	021624_Log Corre(2)_Experiment_Plate_10_p.fcs
021624	100	Both	021624_Log Corre(2)_Experiment_Plate_100_b.fcs	30000	29913	19702	14184	4791	599	1222	0.030403004771089228	0.7199269109735053	0.24317328190031468	0.8111105471525734	021624_Log Corre(2)_Experiment_Plate_100_b.fcs
021624	100	PI	021624_Log Corre(2)_Experiment_Plate_100_p.fcs	30000	29889	19091	18393	0	0	717	0	0.9634382693415746	0	0.9634382693415746	021624_Log Corre(2)_Experiment_Plate_100_p.fcs
021624	1000	Both	021624_Log Corre(2)_Experiment_Plate_1000_b.fcs	30000	29836	19173	27	2	11669	19122	0.6086162833150784	0.0014082303238929744	1.0431335732540551e-4	-0.6071558963125228	021624_Log Corre(2)_Experiment_Plate_1000_b.fcs
021624	1000	PI	021624_Log Corre(2)_Experiment_Plate_1000_p.fcs	30000	29827	19274	58	0	0	19217	0	0.0030092352391823183	0	0.0030092352391823183	021624_Log Corre(2)_Experiment_Plate_1000_p.fcs
021624	5C	Both	021624_Log Corre(2)_Experiment_Plate_5C_b.fcs	30000	29781	18910	18642	115	135	287	0.007139079851930196	0.9858276044420942	0.006081438392384982	0.9817292437863565	021624_Log Corre(2)_Experiment_Plate_5C_b.fcs
021624	5C	PI	021624_Log Corre(2)_Experiment_Plate_5C_p.fcs	30000	29755	17623	17461	0	0	172	0	0.9908074675140441	0	0.9908074675140441	021624_Log Corre(2)_Experiment_Plate_5C_p.fcs
021724	0	Both	021724_Log Corre(3)_Experiment_Plate_0_b.fcs	30000	29860	18130	13094	4955	76	2584	0.004191947049089906	0.7222283507997793	0.27330391616105904	0.854688361831219	021724_Log Corre(3)_Experiment_Plate_0_b.fcs
021724	0	PI	021724_Log Corre(3)_Experiment_Plate_0_p.fcs	30000	29842	18703	18606	0	0	104	0	0.9948136662567503	0	0.9948136662567503	021724_Log Corre(3)_Experiment_Plate_0_p.fcs
021724	10	Both	021724_Log Corre(3)_Experiment_Plate_10_b.fcs	30000	29708	18133	14852	3124	156	2850	0.008603099321678707	0.8190591738818729	0.1722825787238736	0.896597363922131	021724_Log Corre(3)_Experiment_Plate_10_b.fcs
021724	10	PI	021724_Log Corre(3)_Experiment_Plate_10_p.fcs	30000	29668	18113	17942	0	0	179	0	0.9905592668249323	0	0.9905592668249323	021724_Log Corre(3)_Experiment_Plate_10_p.fcs
021724	100	Both	021724_Log Corre(3)_Experiment_Plate_100_b.fcs	30000	29915	18879	10874	7677	315	651	0.01668520578420467	0.5759838974521956	0.406642300969331	0.7626198421526564	021724_Log Corre(3)_Experiment_Plate_100_b.fcs
021724	100	PI	021724_Log Corre(3)_Experiment_Plate_100_p.fcs	30000	29927	19277	19027	0	0	258	0	0.9870311770503709	0	0.9870311770503709	021724_Log Corre(3)_Experiment_Plate_100_p.fcs
021724	1000	Both	021724_Log Corre(3)_Experiment_Plate_1000_b.fcs	30000	29792	18148	7	1	17704	15802	0.975534494159136	3.857174344280361e-4	5.5102490632576594e-5	-0.9751212254793916	021724_Log Corre(3)_Experiment_Plate_1000_b.fcs
021724	1000	PI	021724_Log Corre(3)_Experiment_Plate_1000_p.fcs	30000	29716	18735	42	0	0	18695	0	0.0022417934347477983	0	0.0022417934347477983	021724_Log Corre(3)_Experiment_Plate_1000_p.fcs
021724	5C	Both	021724_Log Corre(3)_Experiment_Plate_5C_b.fcs	30000	28953	17599	12771	3703	1106	4075	0.06284447979998864	0.7256662310358543	0.2104096823683164	0.7680265924200238	021724_Log Corre(3)_Experiment_Plate_5C_b.fcs
021724	5C	PI	021724_Log Corre(3)_Experiment_Plate_5C_p.fcs	30000	29169	18001	17396	0	0	619	0	0.9663907560691073	0	0.9663907560691073	021724_Log Corre(3)_Experiment_Plate_5C_p.fcs
