Date	Treatment	Dye	name
021424	0	Both	021424_Log Corre(1)_Experiment_Plate_0_b.fcs
021424	0	PI	021424_Log Corre(1)_Experiment_Plate_0_p.fcs
021424	10	Both	021424_Log Corre(1)_Experiment_Plate_10_b.fcs
021424	10	PI	021424_Log Corre(1)_Experiment_Plate_10_p.fcs
021424	100	Both	021424_Log Corre(1)_Experiment_Plate_100_b.fcs
021424	100	PI	021424_Log Corre(1)_Experiment_Plate_100_p.fcs
021424	1000	Both	021424_Log Corre(1)_Experiment_Plate_1000_b.fcs
021424	1000	PI	021424_Log Corre(1)_Experiment_Plate_1000_p.fcs
021424	5C	Both	021424_Log Corre(1)_Experiment_Plate_5C_b.fcs
021424	5C	PI	021424_Log Corre(1)_Experiment_Plate_5C_p.fcs
021624	0	Both	021624_Log Corre(2)_Experiment_Plate_0_b.fcs
021624	0	PI	021624_Log Corre(2)_Experiment_Plate_0_p.fcs
021624	10	Both	021624_Log Corre(2)_Experiment_Plate_10_b.fcs
021624	10	PI	021624_Log Corre(2)_Experiment_Plate_10_p.fcs
021624	100	Both	021624_Log Corre(2)_Experiment_Plate_100_b.fcs
021624	100	PI	021624_Log Corre(2)_Experiment_Plate_100_p.fcs
021624	1000	Both	021624_Log Corre(2)_Experiment_Plate_1000_b.fcs
021624	1000	PI	021624_Log Corre(2)_Experiment_Plate_1000_p.fcs
021624	5C	Both	021624_Log Corre(2)_Experiment_Plate_5C_b.fcs
021624	5C	PI	021624_Log Corre(2)_Experiment_Plate_5C_p.fcs
021724	0	Both	021724_Log Corre(3)_Experiment_Plate_0_b.fcs
021724	0	PI	021724_Log Corre(3)_Experiment_Plate_0_p.fcs
021724	10	Both	021724_Log Corre(3)_Experiment_Plate_10_b.fcs
021724	10	PI	021724_Log Corre(3)_Experiment_Plate_10_p.fcs
021724	100	Both	021724_Log Corre(3)_Experiment_Plate_100_b.fcs
021724	100	PI	021724_Log Corre(3)_Experiment_Plate_100_p.fcs
021724	1000	Both	021724_Log Corre(3)_Experiment_Plate_1000_b.fcs
021724	1000	PI	021724_Log Corre(3)_Experiment_Plate_1000_p.fcs
021724	5C	Both	021724_Log Corre(3)_Experiment_Plate_5C_b.fcs
021724	5C	PI	021724_Log Corre(3)_Experiment_Plate_5C_p.fcs
