Date	Treatment	Dye	CFU_Survival	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	n_PIDead	percent_Dead	percent_Live	percent_inter	FGS	name
22524	0	Both	1	022524_Sc Log Corre_Experiment_Plate_0_b.fcs	30000	28963	17040	15189	1756	88	1152	0.005164319249	0.8913732394	0.1030516432	0.9377347418	022524_Sc Log Corre_Experiment_Plate_0_b.fcs
22524	0	PI	1	022524_Sc Log Corre_Experiment_Plate_0_p.fcs	30000	28050	15949	15864	0	6	101	3.76E-04	0.9946705123	0	0.9942943131	022524_Sc Log Corre_Experiment_Plate_0_p.fcs
22524	0.6	Both	0.09782608696	022524_Sc Log Corre_Experiment_Plate_0.6_b.fcs	30000	27853	16016	14841	652	514	1281	0.03209290709	0.9266358641	0.04070929071	0.9148976024	022524_Sc Log Corre_Experiment_Plate_0.6_b.fcs
22524	0.6	PI	0.09782608696	022524_Sc Log Corre_Experiment_Plate_0.6_p.fcs	30000	27061	15526	15014	0	9	546	5.80E-04	0.9670230581	0	0.9664433853	022524_Sc Log Corre_Experiment_Plate_0.6_p.fcs
22524	1000	Both	0	022524_Sc Log Corre_Experiment_Plate_1000_b.fcs	30000	29349	17246	19	7	17215	16040	0.9982024817	0.001101704743	4.06E-04	-0.9968978314	022524_Sc Log Corre_Experiment_Plate_1000_b.fcs
22524	1000	PI	0	022524_Sc Log Corre_Experiment_Plate_1000_p.fcs	30000	29182	17580	41	0	1	17540	5.69E-05	0.002332195677	0	0.002275312856	022524_Sc Log Corre_Experiment_Plate_1000_p.fcs
22524	5C	Both	0.652173913	022524_Sc Log Corre_Experiment_Plate_5C_b.fcs	30000	27883	15853	14538	668	619	1813	0.03904623731	0.9170504006	0.04213713493	0.8990727307	022524_Sc Log Corre_Experiment_Plate_5C_b.fcs
22524	5C	PI	0.652173913	022524_Sc Log Corre_Experiment_Plate_5C_p.fcs	30000	27117	15678	15041	0	35	732	0.002232427606	0.9593698176	0	0.95713739	022524_Sc Log Corre_Experiment_Plate_5C_p.fcs
22524	6	Both	0.01782608696	022524_Sc Log Corre_Experiment_Plate_6_b.fcs	30000	28718	16496	11607	4734	150	1312	0.009093113482	0.7036251212	0.2869786615	0.8380213385	022524_Sc Log Corre_Experiment_Plate_6_b.fcs
22524	6	PI	0.01782608696	022524_Sc Log Corre_Experiment_Plate_6_p.fcs	30000	27462	16108	15213	0	6	907	3.72E-04	0.9444375466	0	0.9440650608	022524_Sc Log Corre_Experiment_Plate_6_p.fcs
22624	0	Both	1	022624_Sc Log Corre(1)_Experiment_Plate_0_b.fcs	30000	28985	16913	14274	2548	90	1637	0.00532135044	0.8439661799	0.1506533436	0.9139715012	022624_Sc Log Corre(1)_Experiment_Plate_0_b.fcs
22624	0	PI	1	022624_Sc Log Corre(1)_Experiment_Plate_0_p.fcs	30000	28471	16327	16233	0	0	103	0	0.9942426655	0	0.9942426655	022624_Sc Log Corre(1)_Experiment_Plate_0_p.fcs
22624	0.6	Both	0.2234375	022624_Sc Log Corre(1)_Experiment_Plate_0.6_b.fcs	30000	27467	15501	14160	1117	223	1680	0.01438616863	0.9134894523	0.07205986711	0.9351332172	022624_Sc Log Corre(1)_Experiment_Plate_0.6_b.fcs
22624	0.6	PI	0.2234375	022624_Sc Log Corre(1)_Experiment_Plate_0.6_p.fcs	30000	27422	15341	15096	0	0	259	0	0.9840297243	0	0.9840297243	022624_Sc Log Corre(1)_Experiment_Plate_0.6_p.fcs
22624	1000	Both	0	022624_Sc Log Corre(1)_Experiment_Plate_1000_b.fcs	30000	29357	17982	10	10	17962	15481	0.9988877767	5.56E-04	5.56E-04	-0.9980536092	022624_Sc Log Corre(1)_Experiment_Plate_1000_b.fcs
22624	1000	PI	0	022624_Sc Log Corre(1)_Experiment_Plate_1000_p.fcs	30000	29136	17101	30	0	0	17078	0	0.001754283375	0	0.001754283375	022624_Sc Log Corre(1)_Experiment_Plate_1000_p.fcs
22624	5C	Both	0.609375	022624_Sc Log Corre(1)_Experiment_Plate_5C_b.fcs	30000	28563	16761	15316	1263	178	1938	0.01061989141	0.9137879601	0.07535349919	0.9408448183	022624_Sc Log Corre(1)_Experiment_Plate_5C_b.fcs
22624	5C	PI	0.609375	022624_Sc Log Corre(1)_Experiment_Plate_5C_p.fcs	30000	27879	16187	16032	0	0	168	0	0.9904244147	0	0.9904244147	022624_Sc Log Corre(1)_Experiment_Plate_5C_p.fcs
22624	6	Both	0.02046875	022624_Sc Log Corre(1)_Experiment_Plate_6_b.fcs	30000	28529	15729	8457	7074	197	1479	0.01252463602	0.5376692733	0.4497425138	0.7500158942	022624_Sc Log Corre(1)_Experiment_Plate_6_b.fcs
22624	6	PI	0.02046875	022624_Sc Log Corre(1)_Experiment_Plate_6_p.fcs	30000	27943	16612	16001	0	0	632	0	0.9632193595	0	0.9632193595	022624_Sc Log Corre(1)_Experiment_Plate_6_p.fcs
22824	0	Both	1	022824_Sc Log Corre(2)_Experiment_Plate_0_b.fcs	30000	26720	14650	12122	2454	74	2140	0.005051194539	0.827440273	0.1675085324	0.9061433447	022824_Sc Log Corre(2)_Experiment_Plate_0_b.fcs
22824	0	PI	1	022824_Sc Log Corre(2)_Experiment_Plate_0_p.fcs	30000	26216	14949	14752	0	0	205	0	0.986821861	0	0.986821861	022824_Sc Log Corre(2)_Experiment_Plate_0_p.fcs
22824	0.6	Both	0.3891891892	022824_Sc Log Corre(2)_Experiment_Plate_0.6_b.fcs	30000	23960	13082	11948	1055	77	1523	0.005885950161	0.9133160067	0.08064516129	0.9477526372	022824_Sc Log Corre(2)_Experiment_Plate_0.6_b.fcs
22824	0.6	PI	0.3891891892	022824_Sc Log Corre(2)_Experiment_Plate_0.6_p.fcs	30000	23129	12354	12146	0	0	219	0	0.9831633479	0	0.9831633479	022824_Sc Log Corre(2)_Experiment_Plate_0.6_p.fcs
22824	1000	Both	0	022824_Sc Log Corre(2)_Experiment_Plate_1000_b.fcs	30000	25189	14528	69	331	14128	9404	0.9724669604	0.004749449339	0.02278359031	-0.9563257159	022824_Sc Log Corre(2)_Experiment_Plate_1000_b.fcs
22824	1000	PI	0	022824_Sc Log Corre(2)_Experiment_Plate_1000_p.fcs	30000	24752	13836	288	0	1	13556	7.23E-05	0.02081526453	0	0.0207429893	022824_Sc Log Corre(2)_Experiment_Plate_1000_p.fcs
22824	5C	Both	0.5675675676	022824_Sc Log Corre(2)_Experiment_Plate_5C_b.fcs	30000	24390	13596	11310	2132	146	2524	0.01073845249	0.8318623124	0.1568108267	0.8995292733	022824_Sc Log Corre(2)_Experiment_Plate_5C_b.fcs
22824	5C	PI	0.5675675676	022824_Sc Log Corre(2)_Experiment_Plate_5C_p.fcs	30000	23345	13460	13199	0	0	268	0	0.9806092125	0	0.9806092125	022824_Sc Log Corre(2)_Experiment_Plate_5C_p.fcs
22824	6	Both	0.05675675676	022824_Sc Log Corre(2)_Experiment_Plate_6_b.fcs	30000	24386	13891	8444	5329	111	1360	0.007990785401	0.6078756029	0.3836296883	0.7916996617	022824_Sc Log Corre(2)_Experiment_Plate_6_b.fcs
22824	6	PI	0.05675675676	022824_Sc Log Corre(2)_Experiment_Plate_6_p.fcs	30000	23347	13308	13247	0	0	74	0	0.995416291	0	0.995416291	022824_Sc Log Corre(2)_Experiment_Plate_6_p.fcs
