Date	Treatment	Dye	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	n_PIDead	percent_Dead	percent_Live	percent_inter	FGS	name
022524	0	Both	022524_Sc Log Corre_Experiment_Plate_0_b.fcs	30000	28963	17040	15189	1756	88	1152	0.005164319248826291	0.8913732394366197	0.10305164319248826	0.9377347417840375	022524_Sc Log Corre_Experiment_Plate_0_b.fcs
022524	0	PI	022524_Sc Log Corre_Experiment_Plate_0_p.fcs	30000	28050	15949	15864	0	6	101	3.761991347419901e-4	0.9946705122578218	0	0.9942943131230798	022524_Sc Log Corre_Experiment_Plate_0_p.fcs
022524	0.6	Both	022524_Sc Log Corre_Experiment_Plate_0.6_b.fcs	30000	27853	16016	14841	652	514	1281	0.032092907092907096	0.9266358641358642	0.04070929070929071	0.9148976023976024	022524_Sc Log Corre_Experiment_Plate_0.6_b.fcs
022524	0.6	PI	022524_Sc Log Corre_Experiment_Plate_0.6_p.fcs	30000	27061	15526	15014	0	9	546	5.796728069045472e-4	0.9670230580960969	0	0.9664433852891924	022524_Sc Log Corre_Experiment_Plate_0.6_p.fcs
022524	1000	Both	022524_Sc Log Corre_Experiment_Plate_1000_b.fcs	30000	29349	17246	19	7	17215	16040	0.998202481734895	0.0011017047431288415	4.058912211527311e-4	-0.9968978313811898	022524_Sc Log Corre_Experiment_Plate_1000_b.fcs
022524	1000	PI	022524_Sc Log Corre_Experiment_Plate_1000_p.fcs	30000	29182	17580	41	0	1	17540	5.688282138794084e-5	0.0023321956769055746	0	0.0022753128555176336	022524_Sc Log Corre_Experiment_Plate_1000_p.fcs
022524	5C	Both	022524_Sc Log Corre_Experiment_Plate_5C_b.fcs	30000	27883	15853	14538	668	619	1813	0.03904623730524191	0.9170504005551	0.042137134927143126	0.8990727307134296	022524_Sc Log Corre_Experiment_Plate_5C_b.fcs
022524	5C	PI	022524_Sc Log Corre_Experiment_Plate_5C_p.fcs	30000	27117	15678	15041	0	35	732	0.002232427605561934	0.9593698175787728	0	0.9571373899732109	022524_Sc Log Corre_Experiment_Plate_5C_p.fcs
022524	6	Both	022524_Sc Log Corre_Experiment_Plate_6_b.fcs	30000	28718	16496	11607	4734	150	1312	0.009093113482056256	0.7036251212415131	0.28697866149369544	0.8380213385063047	022524_Sc Log Corre_Experiment_Plate_6_b.fcs
022524	6	PI	022524_Sc Log Corre_Experiment_Plate_6_p.fcs	30000	27462	16108	15213	0	6	907	3.7248572138068043e-4	0.9444375465607152	0	0.9440650608393345	022524_Sc Log Corre_Experiment_Plate_6_p.fcs
022624	0	Both	022624_Sc Log Corre(1)_Experiment_Plate_0_b.fcs	30000	28985	16913	14274	2548	90	1637	0.005321350440489564	0.8439661798616449	0.1506533435818601	0.9139715012120854	022624_Sc Log Corre(1)_Experiment_Plate_0_b.fcs
022624	0	PI	022624_Sc Log Corre(1)_Experiment_Plate_0_p.fcs	30000	28471	16327	16233	0	0	103	0	0.9942426655233662	0	0.9942426655233662	022624_Sc Log Corre(1)_Experiment_Plate_0_p.fcs
022624	0.6	Both	022624_Sc Log Corre(1)_Experiment_Plate_0.6_b.fcs	30000	27467	15501	14160	1117	223	1680	0.01438616863428166	0.9134894522934004	0.07205986710534804	0.9351332172117928	022624_Sc Log Corre(1)_Experiment_Plate_0.6_b.fcs
022624	0.6	PI	022624_Sc Log Corre(1)_Experiment_Plate_0.6_p.fcs	30000	27422	15341	15096	0	0	259	0	0.9840297242683006	0	0.9840297242683006	022624_Sc Log Corre(1)_Experiment_Plate_0.6_p.fcs
022624	1000	Both	022624_Sc Log Corre(1)_Experiment_Plate_1000_b.fcs	30000	29357	17982	10	10	17962	15481	0.9988877766655544	5.561116672227783e-4	5.561116672227783e-4	-0.9980536091647202	022624_Sc Log Corre(1)_Experiment_Plate_1000_b.fcs
022624	1000	PI	022624_Sc Log Corre(1)_Experiment_Plate_1000_p.fcs	30000	29136	17101	30	0	0	17078	0	0.001754283375241214	0	0.001754283375241214	022624_Sc Log Corre(1)_Experiment_Plate_1000_p.fcs
022624	5C	Both	022624_Sc Log Corre(1)_Experiment_Plate_5C_b.fcs	30000	28563	16761	15316	1263	178	1938	0.0106198914145934	0.9137879601455761	0.0753534991945588	0.9408448183282621	022624_Sc Log Corre(1)_Experiment_Plate_5C_b.fcs
022624	5C	PI	022624_Sc Log Corre(1)_Experiment_Plate_5C_p.fcs	30000	27879	16187	16032	0	0	168	0	0.9904244146537344	0	0.9904244146537344	022624_Sc Log Corre(1)_Experiment_Plate_5C_p.fcs
022624	6	Both	022624_Sc Log Corre(1)_Experiment_Plate_6_b.fcs	30000	28529	15729	8457	7074	197	1479	0.012524636022633352	0.5376692733168034	0.4497425138279611	0.7500158942081506	022624_Sc Log Corre(1)_Experiment_Plate_6_b.fcs
