Date	Treatment	Dye	name
022524	0	Both	022524_Sc Log Corre_Experiment_Plate_0_b.fcs
022524	0	PI	022524_Sc Log Corre_Experiment_Plate_0_p.fcs
022524	0.6	Both	022524_Sc Log Corre_Experiment_Plate_0.6_b.fcs
022524	0.6	PI	022524_Sc Log Corre_Experiment_Plate_0.6_p.fcs
022524	1000	Both	022524_Sc Log Corre_Experiment_Plate_1000_b.fcs
022524	1000	PI	022524_Sc Log Corre_Experiment_Plate_1000_p.fcs
022524	5C	Both	022524_Sc Log Corre_Experiment_Plate_5C_b.fcs
022524	5C	PI	022524_Sc Log Corre_Experiment_Plate_5C_p.fcs
022524	6	Both	022524_Sc Log Corre_Experiment_Plate_6_b.fcs
022524	6	PI	022524_Sc Log Corre_Experiment_Plate_6_p.fcs
022624	0	Both	022624_Sc Log Corre(1)_Experiment_Plate_0_b.fcs
022624	0	PI	022624_Sc Log Corre(1)_Experiment_Plate_0_p.fcs
022624	0.6	Both	022624_Sc Log Corre(1)_Experiment_Plate_0.6_b.fcs
022624	0.6	PI	022624_Sc Log Corre(1)_Experiment_Plate_0.6_p.fcs
022624	1000	Both	022624_Sc Log Corre(1)_Experiment_Plate_1000_b.fcs
022624	1000	PI	022624_Sc Log Corre(1)_Experiment_Plate_1000_p.fcs
022624	5C	Both	022624_Sc Log Corre(1)_Experiment_Plate_5C_b.fcs
022624	5C	PI	022624_Sc Log Corre(1)_Experiment_Plate_5C_p.fcs
022624	6	Both	022624_Sc Log Corre(1)_Experiment_Plate_6_b.fcs
022624	6	PI	022624_Sc Log Corre(1)_Experiment_Plate_6_p.fcs
022824	0	Both	022824_Sc Log Corre(2)_Experiment_Plate_0_b.fcs
022824	0	PI	022824_Sc Log Corre(2)_Experiment_Plate_0_p.fcs
022824	0.6	Both	022824_Sc Log Corre(2)_Experiment_Plate_0.6_b.fcs
022824	0.6	PI	022824_Sc Log Corre(2)_Experiment_Plate_0.6_p.fcs
022824	1000	Both	022824_Sc Log Corre(2)_Experiment_Plate_1000_b.fcs
022824	1000	PI	022824_Sc Log Corre(2)_Experiment_Plate_1000_p.fcs
022824	5C	Both	022824_Sc Log Corre(2)_Experiment_Plate_5C_b.fcs
022824	5C	PI	022824_Sc Log Corre(2)_Experiment_Plate_5C_p.fcs
022824	6	Both	022824_Sc Log Corre(2)_Experiment_Plate_6_b.fcs
022824	6	PI	022824_Sc Log Corre(2)_Experiment_Plate_6_p.fcs
