Date	Treatment	Dye	name
031824	0	Both	031824_Ca Log Corre_Experiment_Plate_0_b.fcs
031824	0	PI	031824_Ca Log Corre_Experiment_Plate_0_p.fcs
031824	0.6	Both	031824_Ca Log Corre_Experiment_Plate_0.6_b.fcs
031824	0.6	PI	031824_Ca Log Corre_Experiment_Plate_0.6_p.fcs
031824	1000	Both	031824_Ca Log Corre_Experiment_Plate_1000_b.fcs
031824	1000	PI	031824_Ca Log Corre_Experiment_Plate_1000_p.fcs
031824	6	Both	031824_Ca Log Corre_Experiment_Plate_6_b.fcs
031824	6	PI	031824_Ca Log Corre_Experiment_Plate_6_p.fcs
032024	0	Both	032024_Ca Log Corre_Experiment_Plate_0_b.fcs
032024	0	PI	032024_Ca Log Corre_Experiment_Plate_0_p.fcs
032024	0.6	Both	032024_Ca Log Corre_Experiment_Plate_0.6_b.fcs
032024	0.6	PI	032024_Ca Log Corre_Experiment_Plate_0.6_p.fcs
032024	1000	Both	032024_Ca Log Corre_Experiment_Plate_1000_b.fcs
032024	1000	PI	032024_Ca Log Corre_Experiment_Plate_1000_p.fcs
032024	6	Both	032024_Ca Log Corre_Experiment_Plate_6_b.fcs
032024	6	PI	032024_Ca Log Corre_Experiment_Plate_6_p.fcs
032324	0	Both	032324_Ca Log Corre_Experiment_Plate_0_b.fcs
032324	0	PI	032324_Ca Log Corre_Experiment_Plate_0_p.fcs
032324	0.6	Both	032324_Ca Log Corre_Experiment_Plate_0.6_b.fcs
032324	0.6	PI	032324_Ca Log Corre_Experiment_Plate_0.6_p.fcs
032324	1000	Both	032324_Ca Log Corre_Experiment_Plate_1000_b.fcs
032324	1000	PI	032324_Ca Log Corre_Experiment_Plate_1000_p.fcs
032324	6	Both	032324_Ca Log Corre_Experiment_Plate_6_b.fcs
032324	6	PI	032324_Ca Log Corre_Experiment_Plate_6_p.fcs
