Date	Treatment	name
040524	0	040524_100+_Experiment_Plate_0.fcs
040524	100	040524_100+_Experiment_Plate_100.fcs
040524	1000	040524_100+_Experiment_Plate_1000.fcs
040524	250	040524_100+_Experiment_Plate_250.fcs
040524	500	040524_100+_Experiment_Plate_500.fcs
040524	750	040524_100+_Experiment_Plate_750.fcs
040824	0	040824_100+_Experiment_Plate_0.fcs
040824	100	040824_100+_Experiment_Plate_100.fcs
040824	1000	040824_100+_Experiment_Plate_1000.fcs
040824	250	040824_100+_Experiment_Plate_250.fcs
040824	500	040824_100+_Experiment_Plate_500.fcs
040824	750	040824_100+_Experiment_Plate_750.fcs
041024	0	041024_100+(1)_Experiment_Plate_0.fcs
041024	100	041024_100+(1)_Experiment_Plate_100.fcs
041024	1000	041024_100+(1)_Experiment_Plate_1000.fcs
041024	250	041024_100+(1)_Experiment_Plate_250.fcs
041024	500	041024_100+(1)_Experiment_Plate_500.fcs
041024	750	041024_100+(1)_Experiment_Plate_750.fcs
