Date	Treatment	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	percent_Dead	percent_Live	percent_inter	FGS	name
040524	0	040524_100+_Experiment_Plate_0.fcs	30000	29922	18458	3860	14558	73	0.003954924693899664	0.2091234153212699	0.7887095026546754	0.599523241954708	040524_100+_Experiment_Plate_0.fcs
040524	100	040524_100+_Experiment_Plate_100.fcs	30000	29870	19175	6093	12745	394	0.020547588005215126	0.3177574967405476	0.6646675358539765	0.6295436766623207	040524_100+_Experiment_Plate_100.fcs
040524	1000	040524_100+_Experiment_Plate_1000.fcs	30000	29866	19712	2	25	19687	0.998731737012987	1.0146103896103897e-4	0.001268262987012987	-0.9979961444805194	040524_100+_Experiment_Plate_1000.fcs
040524	250	040524_100+_Experiment_Plate_250.fcs	30000	29905	19488	134	16217	4508	0.23132183908045978	0.006876026272577997	0.8321531198686372	0.1916307471264368	040524_100+_Experiment_Plate_250.fcs
040524	500	040524_100+_Experiment_Plate_500.fcs	30000	29887	18880	9	321	18722	0.9916313559322034	4.766949152542373e-4	0.017002118644067796	-0.9826536016949153	040524_100+_Experiment_Plate_500.fcs
040524	750	040524_100+_Experiment_Plate_750.fcs	30000	29899	18819	2	22	18797	0.9988309687018438	1.0627557255964716e-4	0.0011690312981561188	-0.9981401774802061	040524_100+_Experiment_Plate_750.fcs
040824	0	040824_100+_Experiment_Plate_0.fcs	30000	29758	18250	4962	13277	146	0.008	0.2718904109589041	0.7275068493150685	0.6276438356164383	040824_100+_Experiment_Plate_0.fcs
040824	100	040824_100+_Experiment_Plate_100.fcs	30000	29783	19132	3510	15377	300	0.015680535228935814	0.18346226217854902	0.8037319673844867	0.5696477106418565	040824_100+_Experiment_Plate_100.fcs
040824	1000	040824_100+_Experiment_Plate_1000.fcs	30000	29750	19634	10	21	19580	0.9972496689416319	5.093205663644698e-4	0.0010695731893653865	-0.9962055617805847	040824_100+_Experiment_Plate_1000.fcs
040824	250	040824_100+_Experiment_Plate_250.fcs	30000	29790	19084	71	14604	6747	0.35354223433242504	0.0037203940473695242	0.7652483756025991	0.032802347516244	040824_100+_Experiment_Plate_250.fcs
040824	500	040824_100+_Experiment_Plate_500.fcs	30000	29639	18915	29	172	18754	0.9914882368490616	0.0015331747290510177	0.009093312186095692	-0.9854084060269628	040824_100+_Experiment_Plate_500.fcs
040824	750	040824_100+_Experiment_Plate_750.fcs	30000	29446	18927	15	33	18808	0.9937126855814445	7.925186241876684e-4	0.0017435409732128706	-0.9920483964706505	040824_100+_Experiment_Plate_750.fcs
041024	0	041024_100+(1)_Experiment_Plate_0.fcs	30000	29794	18746	2879	15795	47	0.0025072015363277497	0.1535794302784594	0.8425797503467406	0.5723621039155019	041024_100+(1)_Experiment_Plate_0.fcs
041024	100	041024_100+(1)_Experiment_Plate_100.fcs	30000	29646	18615	2281	15835	566	0.030405586892291163	0.12253558957829708	0.8506580714477572	0.5174590384098846	041024_100+(1)_Experiment_Plate_100.fcs
041024	1000	041024_100+(1)_Experiment_Plate_1000.fcs	30000	29762	18685	7	27	18653	0.9982873963071983	3.7463205780037464e-4	0.001445009365801445	-0.9971902595664972	041024_100+(1)_Experiment_Plate_1000.fcs
041024	250	041024_100+(1)_Experiment_Plate_250.fcs	30000	29663	19222	53	15424	6126	0.31869732598064715	0.002757257309333056	0.8024139007387369	0.08526688169805435	041024_100+(1)_Experiment_Plate_250.fcs
041024	500	041024_100+(1)_Experiment_Plate_500.fcs	30000	29718	18773	20	125	18679	0.9949928088211794	0.0010653598252809886	0.0066584989080061795	-0.9905981995418953	041024_100+(1)_Experiment_Plate_500.fcs
041024	750	041024_100+(1)_Experiment_Plate_750.fcs	30000	29796	19271	8	25	19233	0.9980281251621608	4.151315448082611e-4	0.001297286077525816	-0.9969643505785896	041024_100+(1)_Experiment_Plate_750.fcs
