# Date: experiment date, A/B/letters is biological replicates done on the same day									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
10/13/22	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	594
10/13/22	yH181	Cg	wt	MO	45 min	2 hr	20 mM	1000	103
10/13/22	yH181	Cg	wt	MO	45 min	2 hr	40 mM	1000	53
10/13/22	yH181	Cg	wt	MO	45 min	2 hr	60 mM	1000	44
10/13/22	yH181	Cg	wt	MO	45 min	2 hr	80 mM	1000	13
10/13/22	yH181	Cg	wt	MO	45 min	2 hr	100 mM	1000	1
10/13/22	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	502
10/13/22	yH181	Cg	wt	PO	45 min	2 hr	20 mM	1000	248
10/13/22	yH181	Cg	wt	PO	45 min	2 hr	40 mM	1000	185
10/13/22	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	191
10/13/22	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	79
10/13/22	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	70
10/13/22	yH154	Sc	wt	MM	45 min	2 hr	0 mM	1000	314
10/13/22	yH154	Sc	wt	MO	45 min	2 hr	1.5 mM	1000	37
10/13/22	yH154	Sc	wt	MO	45 min	2 hr	2 mM	1000	29
10/13/22	yH154	Sc	wt	MO	45 min	2 hr	2.5 mM	1000	36
10/13/22	yH154	Sc	wt	MO	45 min	2 hr	3 mM	1000	31
10/13/22	yH154	Sc	wt	MO	45 min	2 hr	3.5 mM	1000	23
10/13/22	yH154	Sc	wt	PM	45 min	2 hr	0 mM	1000	282
10/13/22	yH154	Sc	wt	PO	45 min	2 hr	1.5 mM	1000	48
10/13/22	yH154	Sc	wt	PO	45 min	2 hr	2 mM	1000	57
10/13/22	yH154	Sc	wt	PO	45 min	2 hr	2.5 mM	1000	34
