# Date: experiment date									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
2/21/24	yH97	Cg tolerant	wt	MM	45min	120min	0	1000	573
2/21/24	yH97	Cg tolerant	wt	MO	45min	120min	100	100	105
2/21/24	yH97	Cg tolerant	wt	MO	45min	120min	120	100	25
2/21/24	yH97	Cg tolerant	wt	MO	45min	120min	140	100	18
2/21/24	yH97	Cg tolerant	wt	PM	45min	120min	0	1000	301
2/21/24	yH97	Cg tolerant	wt	PO	45min	120min	100	100	1028
2/21/24	yH97	Cg tolerant	wt	PO	45min	120min	120	100	293
2/21/24	yH97	Cg tolerant	wt	PO	45min	120min	140	100	403
2/21/24	yH103	Sensitive 1	wt	MM	45min	120min	0	1000	212
2/21/24	yH103	Sensitive 1	wt	MO	45min	120min	15	100	179
2/21/24	yH103	Sensitive 1	wt	MO	45min	120min	20	100	124
2/21/24	yH103	Sensitive 1	wt	MO	45min	120min	25	100	75
2/21/24	yH103	Sensitive 1	wt	PM	45min	120min	0	1000	260
2/21/24	yH103	Sensitive 1	wt	PO	45min	120min	15	100	382
2/21/24	yH103	Sensitive 1	wt	PO	45min	120min	20	100	256
2/21/24	yH103	Sensitive 1	wt	PO	45min	120min	25	100	260
2/21/24	yH250	Sensitive 2	wt	MM	45min	120min	0	1000	567
2/21/24	yH250	Sensitive 2	wt	MO	45min	120min	15	100	1263
2/21/24	yH250	Sensitive 2	wt	MO	45min	120min	20	100	1140
2/21/24	yH250	Sensitive 2	wt	MO	45min	120min	25	100	827
2/21/24	yH250	Sensitive 2	wt	PM	45min	120min	0	1000	597
2/21/24	yH250	Sensitive 2	wt	PO	45min	120min	15	100	1815
2/21/24	yH250	Sensitive 2	wt	PO	45min	120min	20	100	1396
2/21/24	yH250	Sensitive 2	wt	PO	45min	120min	25	100	1127
2/21/24	yH181	lab strain	wt	MM	45min	120min	0	1000	417
2/21/24	yH181	lab strain	wt	MO	45min	120min	60	100	51
2/21/24	yH181	lab strain	wt	MO	45min	120min	80	100	46
2/21/24	yH181	lab strain	wt	MO	45min	120min	100	100	9
2/21/24	yH181	lab strain	wt	PM	45min	120min	0	1000	481
2/21/24	yH181	lab strain	wt	PO	45min	120min	60	100	639
2/21/24	yH181	lab strain	wt	PO	45min	120min	80	100	344
2/21/24	yH181	lab strain	wt	PO	45min	120min	100	100	121
2/23/24	yH97	Cg tolerant	wt	MM	45min	120min	0	1000	503
2/23/24	yH97	Cg tolerant	wt	MO	45min	120min	100	100	112
2/23/24	yH97	Cg tolerant	wt	MO	45min	120min	120	100	49
2/23/24	yH97	Cg tolerant	wt	MO	45min	120min	140	100	18
2/23/24	yH97	Cg tolerant	wt	PM	45min	120min	0	1000	340
2/23/24	yH97	Cg tolerant	wt	PO	45min	120min	100	1000	120
