Date	Species	Strain	Genotype	Primary	Secondary	H2O2	Dilutions	Count	scaled	scaled_M	r	Label
11/22/23	Ca	yH220	wildtype	M	M	0	1000	153	1530	1530	1	yH220_0
11/22/23	Ca	yH220	wildtype	M	O	2	100	311	311	1530	0.20326797385620915	yH220_2
11/22/23	Ca	yH220	wildtype	M	O	4	100	355	355	1530	0.23202614379084968	yH220_4
11/22/23	Ca	yH220	wildtype	M	O	6	100	265	265	1530	0.17320261437908496	yH220_6
11/22/23	Ca	yH220	wildtype	P	M	0	1000	96	960	960	1	yH220_0
11/22/23	Ca	yH220	wildtype	P	O	2	100	435	435	960	0.453125	yH220_2
11/22/23	Ca	yH220	wildtype	P	O	4	100	286	286	960	0.29791666666666666	yH220_4
11/22/23	Ca	yH220	wildtype	P	O	6	100	300	300	960	0.3125	yH220_6
11/22/23	Ca	yH714	wildtype	M	M	0	1000	192	1920	1920	1	yH714_0
11/22/23	Ca	yH714	wildtype	M	O	2	100	215	215	1920	0.11197916666666667	yH714_2
11/22/23	Ca	yH714	wildtype	M	O	4	100	123	123	1920	0.0640625	yH714_4
11/22/23	Ca	yH714	wildtype	M	O	6	100	68	68	1920	0.035416666666666666	yH714_6
11/22/23	Ca	yH714	wildtype	P	M	0	1000	94	940	940	1	yH714_0
11/22/23	Ca	yH714	wildtype	P	O	2	100	107	107	940	0.11382978723404255	yH714_2
11/22/23	Ca	yH714	wildtype	P	O	4	100	156	156	940	0.16595744680851063	yH714_4
11/22/23	Ca	yH714	wildtype	P	O	6	100	173	173	940	0.18404255319148935	yH714_6
11/22/23	Sc	yH154	wildtype	M	M	0	1000	162	1620	1620	1	yH154_0
11/22/23	Sc	yH154	wildtype	M	O	2	100	87	87	1620	0.053703703703703705	yH154_2
11/22/23	Sc	yH154	wildtype	M	O	4	100	39	39	1620	0.024074074074074074	yH154_4
11/22/23	Sc	yH154	wildtype	M	O	6	100	11	11	1620	0.006790123456790123	yH154_6
11/22/23	Sc	yH154	wildtype	P	M	0	1000	158	1580	1580	1	yH154_0
11/22/23	Sc	yH154	wildtype	P	O	2	100	164	164	1580	0.10379746835443038	yH154_2
11/22/23	Sc	yH154	wildtype	P	O	4	100	58	58	1580	0.03670886075949367	yH154_4
11/22/23	Sc	yH154	wildtype	P	O	6	100	28	28	1580	0.017721518987341773	yH154_6
11/29/23	Ca	yH220	wildtype	M	M	0	1000	342	3420	3420	1	yH220_0
11/29/23	Ca	yH220	wildtype	M	O	2	100	402	402	3420	0.11754385964912281	yH220_2
11/29/23	Ca	yH220	wildtype	M	O	4	100	402	402	3420	0.11754385964912281	yH220_4
11/29/23	Ca	yH220	wildtype	M	O	6	100	456	456	3420	0.13333333333333333	yH220_6
11/29/23	Ca	yH220	wildtype	P	M	0	1000	234	2340	2340	1	yH220_0
11/29/23	Ca	yH220	wildtype	P	O	2	100	456	456	2340	0.19487179487179487	yH220_2
11/29/23	Ca	yH220	wildtype	P	O	4	100	356	356	2340	0.15213675213675212	yH220_4
11/29/23	Ca	yH220	wildtype	P	O	6	100	452	452	2340	0.19316239316239317	yH220_6
11/29/23	Ca	yH714	wildtype	M	M	0	1000	363	3630	3630	1	yH714_0
11/29/23	Ca	yH714	wildtype	M	O	2	100	276	276	3630	0.07603305785123966	yH714_2
11/29/23	Ca	yH714	wildtype	M	O	4	100	240	240	3630	0.06611570247933884	yH714_4
11/29/23	Ca	yH714	wildtype	M	O	6	100	160	160	3630	0.0440771349862259	yH714_6
11/29/23	Ca	yH714	wildtype	P	M	0	1000	247	2470	2470	1	yH714_0
11/29/23	Ca	yH714	wildtype	P	O	2	100	178	178	2470	0.07206477732793522	yH714_2
11/29/23	Ca	yH714	wildtype	P	O	4	100	170	170	2470	0.06882591093117409	yH714_4
11/29/23	Ca	yH714	wildtype	P	O	6	100	216	216	2470	0.0874493927125506	yH714_6
11/29/23	Sc	yH154	wildtype	M	M	0	1000	408	4080	4080	1	yH154_0
11/29/23	Sc	yH154	wildtype	M	O	2	100	396	396	4080	0.09705882352941177	yH154_2
11/29/23	Sc	yH154	wildtype	M	O	4	100	242	242	4080	0.059313725490196076	yH154_4
11/29/23	Sc	yH154	wildtype	M	O	6	100	153	153	4080	0.0375	yH154_6
11/29/23	Sc	yH154	wildtype	P	M	0	1000	344	3440	3440	1	yH154_0
11/29/23	Sc	yH154	wildtype	P	O	2	100	440	440	3440	0.12790697674418605	yH154_2
11/29/23	Sc	yH154	wildtype	P	O	4	100	378	378	3440	0.10988372093023256	yH154_4
11/29/23	Sc	yH154	wildtype	P	O	6	100	420	420	3440	0.12209302325581395	yH154_6
11/30/23	Ca	yH220	wildtype	M	M	0	1000	270	2700	2700	1	yH220_0
11/30/23	Ca	yH220	wildtype	M	O	2	100	760	760	2700	0.2814814814814815	yH220_2
11/30/23	Ca	yH220	wildtype	M	O	4	100	688	688	2700	0.2548148148148148	yH220_4
11/30/23	Ca	yH220	wildtype	M	O	6	100	804	804	2700	0.29777777777777775	yH220_6
11/30/23	Ca	yH220	wildtype	P	M	0	1000	124	1240	1240	1	yH220_0
11/30/23	Ca	yH220	wildtype	P	O	2	100	488	488	1240	0.3935483870967742	yH220_2
11/30/23	Ca	yH220	wildtype	P	O	4	100	580	580	1240	0.46774193548387094	yH220_4
11/30/23	Ca	yH220	wildtype	P	O	6	100	476	476	1240	0.38387096774193546	yH220_6
11/30/23	Ca	yH714	wildtype	M	M	0	1000	267	2670	2670	1	yH714_0
11/30/23	Ca	yH714	wildtype	M	O	2	100	448	448	2670	0.16779026217228465	yH714_2
11/30/23	Ca	yH714	wildtype	M	O	4	100	190	190	2670	0.07116104868913857	yH714_4
11/30/23	Ca	yH714	wildtype	M	O	6	100	239	239	2670	0.08951310861423221	yH714_6
11/30/23	Ca	yH714	wildtype	P	M	0	1000	215	2150	2150	1	yH714_0
11/30/23	Ca	yH714	wildtype	P	O	2	100	352	352	2150	0.16372093023255813	yH714_2
11/30/23	Ca	yH714	wildtype	P	O	4	100	348	348	2150	0.16186046511627908	yH714_4
11/30/23	Ca	yH714	wildtype	P	O	6	100	212	212	2150	0.0986046511627907	yH714_6
11/30/23	Sc	yH154	wildtype	M	M	0	1000	348	3480	3480	1	yH154_0
11/30/23	Sc	yH154	wildtype	M	O	2	100	146	146	3480	0.04195402298850575	yH154_2
11/30/23	Sc	yH154	wildtype	M	O	4	100	152	152	3480	0.04367816091954023	yH154_4
11/30/23	Sc	yH154	wildtype	M	O	6	100	58	58	3480	0.016666666666666666	yH154_6
11/30/23	Sc	yH154	wildtype	P	M	0	1000	296	2960	2960	1	yH154_0
11/30/23	Sc	yH154	wildtype	P	O	2	100	217	217	2960	0.07331081081081081	yH154_2
11/30/23	Sc	yH154	wildtype	P	O	4	100	143	143	2960	0.04831081081081081	yH154_4
11/30/23	Sc	yH154	wildtype	P	O	6	100	163	163	2960	0.05506756756756757	yH154_6
12/2/23	Ca	yH220	wildtype	M	M	0	1000	70	700	700	1	yH220_0
12/2/23	Ca	yH220	wildtype	M	O	4	100	142	142	700	0.20285714285714285	yH220_4
12/2/23	Ca	yH220	wildtype	M	O	6	100	93	93	700	0.13285714285714287	yH220_6
12/2/23	Ca	yH220	wildtype	M	O	8	100	112	112	700	0.16	yH220_8
12/2/23	Ca	yH220	wildtype	P	M	0	1000	87	870	870	1	yH220_0
12/2/23	Ca	yH220	wildtype	P	O	4	100	160	160	870	0.1839080459770115	yH220_4
12/2/23	Ca	yH220	wildtype	P	O	6	100	180	180	870	0.20689655172413793	yH220_6
12/2/23	Ca	yH220	wildtype	P	O	8	100	169	169	870	0.19425287356321838	yH220_8
12/2/23	Ca	yH714	wildtype	M	M	0	1000	240	2400	2400	1	yH714_0
12/2/23	Ca	yH714	wildtype	M	O	4	100	23	23	2400	0.009583333333333333	yH714_4
12/2/23	Ca	yH714	wildtype	M	O	6	100	10	10	2400	0.004166666666666667	yH714_6
12/2/23	Ca	yH714	wildtype	M	O	8	100	6	6	2400	0.0025	yH714_8
12/2/23	Ca	yH714	wildtype	P	M	0	1000	177	1770	1770	1	yH714_0
12/2/23	Ca	yH714	wildtype	P	O	4	100	12	12	1770	0.006779661016949152	yH714_4
12/2/23	Ca	yH714	wildtype	P	O	6	100	6	6	1770	0.003389830508474576	yH714_6
12/2/23	Ca	yH714	wildtype	P	O	8	100	4	4	1770	0.0022598870056497176	yH714_8
12/2/23	Sc	yH154	wildtype	M	M	0	1000	270	2700	2700	1	yH154_0
12/2/23	Sc	yH154	wildtype	M	O	2	100	74	74	2700	0.027407407407407408	yH154_2
12/2/23	Sc	yH154	wildtype	M	O	4	100	21	21	2700	0.0077777777777777776	yH154_4
12/2/23	Sc	yH154	wildtype	M	O	6	100	6	6	2700	0.0022222222222222222	yH154_6
12/2/23	Sc	yH154	wildtype	P	M	0	1000	183	1830	1830	1	yH154_0
12/2/23	Sc	yH154	wildtype	P	O	2	100	79	79	1830	0.04316939890710383	yH154_2
12/2/23	Sc	yH154	wildtype	P	O	4	100	18	18	1830	0.009836065573770493	yH154_4
12/2/23	Sc	yH154	wildtype	P	O	6	100	8	8	1830	0.004371584699453552	yH154_6
11/29/23	Cg	yH181	wt	M	M	0	1000	487	4870	4870	1	yH181_0
11/29/23	Cg	yH181	wt	M	O	60	100	137	137	4870	0.02813141683778234	yH181_60
11/29/23	Cg	yH181	wt	M	O	80	100	113	113	4870	0.023203285420944558	yH181_80
11/29/23	Cg	yH181	wt	M	O	100	100	28	28	4870	0.005749486652977412	yH181_100
11/29/23	Cg	yH181	wt	P	M	0	1000	323	3230	3230	1	yH181_0
11/29/23	Cg	yH181	wt	P	O	60	100	732	732	3230	0.22662538699690402	yH181_60
11/29/23	Cg	yH181	wt	P	O	80	100	910	910	3230	0.28173374613003094	yH181_80
11/29/23	Cg	yH181	wt	P	O	100	100	347	347	3230	0.10743034055727554	yH181_100
12/04/23	Ca	yH714	wildtype	M	M	0	1000	208	2080	2080	1	yH714_0
12/04/23	Ca	yH714	wildtype	M	O	4	100	95	95	2080	0.04567307692307692	yH714_4
12/04/23	Ca	yH714	wildtype	M	O	6	100	23	23	2080	0.011057692307692308	yH714_6
12/04/23	Ca	yH714	wildtype	M	O	8	100	6	6	2080	0.0028846153846153848	yH714_8
12/04/23	Ca	yH714	wildtype	P	M	0	1000	201	2010	2010	1	yH714_0
12/04/23	Ca	yH714	wildtype	P	O	4	100	43	43	2010	0.021393034825870648	yH714_4
12/04/23	Ca	yH714	wildtype	P	O	6	100	37	37	2010	0.018407960199004977	yH714_6
12/04/23	Ca	yH714	wildtype	P	O	8	100	18	18	2010	0.008955223880597015	yH714_8
12/04/23	Sc	yH154	wildtype	M	M	0	1000	383	3830	3830	1	yH154_0
12/04/23	Sc	yH154	wildtype	M	O	2	100	210	210	3830	0.05483028720626632	yH154_2
12/04/23	Sc	yH154	wildtype	M	O	4	100	69	69	3830	0.018015665796344647	yH154_4
12/04/23	Sc	yH154	wildtype	M	O	6	100	21	21	3830	0.005483028720626632	yH154_6
12/04/23	Sc	yH154	wildtype	P	M	0	1000	278	2780	2780	1	yH154_0
12/04/23	Sc	yH154	wildtype	P	O	2	100	238	238	2780	0.0856115107913669	yH154_2
12/04/23	Sc	yH154	wildtype	P	O	4	100	64	64	2780	0.02302158273381295	yH154_4
12/04/23	Sc	yH154	wildtype	P	O	6	100	18	18	2780	0.006474820143884892	yH154_6
12/4/23	Ca	yH220	wildtype	M	M	0	1000	53	530	530	1	yH220_0
12/4/23	Ca	yH220	wildtype	M	O	8	100	33	33	530	0.062264150943396226	yH220_8
12/4/23	Ca	yH220	wildtype	M	O	10	100	17	17	530	0.03207547169811321	yH220_10
12/4/23	Ca	yH220	wildtype	M	O	12	100	55	55	530	0.10377358490566038	yH220_12
12/4/23	Ca	yH220	wildtype	P	M	0	1000	114	1140	1140	1	yH220_0
12/4/23	Ca	yH220	wildtype	P	O	8	100	43	43	1140	0.037719298245614034	yH220_8
12/4/23	Ca	yH220	wildtype	P	O	10	100	39	39	1140	0.034210526315789476	yH220_10
