Date	Strain	Species	Genotype	Primary	Secondary	H2O2	Dilutions	Count	scaled	scaled_M	r	Label
2/21/24	yH97	Cg tolerant	wt	M	O	100	100	105	105	5730	0.01832460732984293	yH97_100
2/21/24	yH97	Cg tolerant	wt	M	O	120	100	25	25	5730	0.004363001745200698	yH97_120
2/21/24	yH97	Cg tolerant	wt	M	O	140	100	18	18	5730	0.0031413612565445027	yH97_140
2/21/24	yH97	Cg tolerant	wt	P	O	100	100	1028	1028	3010	0.3415282392026578	yH97_100
2/21/24	yH97	Cg tolerant	wt	P	O	120	100	293	293	3010	0.0973421926910299	yH97_120
2/21/24	yH97	Cg tolerant	wt	P	O	140	100	403	403	3010	0.13388704318936878	yH97_140
2/21/24	yH103	Sensitive 1	wt	M	O	15	100	179	179	2120	0.08443396226415094	yH103_15
2/21/24	yH103	Sensitive 1	wt	M	O	20	100	124	124	2120	0.05849056603773585	yH103_20
2/21/24	yH103	Sensitive 1	wt	M	O	25	100	75	75	2120	0.03537735849056604	yH103_25
2/21/24	yH103	Sensitive 1	wt	P	O	15	100	382	382	2600	0.14692307692307693	yH103_15
2/21/24	yH103	Sensitive 1	wt	P	O	20	100	256	256	2600	0.09846153846153846	yH103_20
2/21/24	yH103	Sensitive 1	wt	P	O	25	100	260	260	2600	0.1	yH103_25
2/21/24	yH250	Sensitive 2	wt	M	O	15	100	1263	1263	5670	0.22275132275132276	yH250_15
2/21/24	yH250	Sensitive 2	wt	M	O	20	100	1140	1140	5670	0.20105820105820105	yH250_20
2/21/24	yH250	Sensitive 2	wt	M	O	25	100	827	827	5670	0.14585537918871253	yH250_25
2/21/24	yH250	Sensitive 2	wt	P	O	15	100	1815	1815	5970	0.30402010050251255	yH250_15
2/21/24	yH250	Sensitive 2	wt	P	O	20	100	1396	1396	5970	0.2338358458961474	yH250_20
2/21/24	yH250	Sensitive 2	wt	P	O	25	100	1127	1127	5970	0.18877721943048575	yH250_25
2/21/24	yH181	lab strain	wt	M	O	60	100	51	51	4170	0.01223021582733813	yH181_60
2/21/24	yH181	lab strain	wt	M	O	80	100	46	46	4170	0.011031175059952039	yH181_80
2/21/24	yH181	lab strain	wt	M	O	100	100	9	9	4170	0.002158273381294964	yH181_100
2/21/24	yH181	lab strain	wt	P	O	60	100	639	639	4810	0.13284823284823286	yH181_60
2/21/24	yH181	lab strain	wt	P	O	80	100	344	344	4810	0.07151767151767152	yH181_80
2/21/24	yH181	lab strain	wt	P	O	100	100	121	121	4810	0.025155925155925157	yH181_100
2/23/24	yH97	Cg tolerant	wt	M	O	100	100	112	112	5030	0.022266401590457258	yH97_100
2/23/24	yH97	Cg tolerant	wt	M	O	120	100	49	49	5030	0.00974155069582505	yH97_120
2/23/24	yH97	Cg tolerant	wt	M	O	140	100	18	18	5030	0.0035785288270377734	yH97_140
2/23/24	yH97	Cg tolerant	wt	P	O	100	1000	120	1200	3400	0.35294117647058826	yH97_100
2/23/24	yH97	Cg tolerant	wt	P	O	120	1000	54	540	3400	0.1588235294117647	yH97_120
2/23/24	yH97	Cg tolerant	wt	P	O	140	1000	44	440	3400	0.12941176470588237	yH97_140
2/23/24	yH103	Sensitive 1	wt	M	O	15	100	28	28	1020	0.027450980392156862	yH103_15
2/23/24	yH103	Sensitive 1	wt	M	O	20	100	26	26	1020	0.025490196078431372	yH103_20
2/23/24	yH103	Sensitive 1	wt	M	O	25	100	9	9	1020	0.008823529411764706	yH103_25
2/23/24	yH103	Sensitive 1	wt	P	O	15	1000	5	50	560	0.08928571428571429	yH103_15
2/23/24	yH103	Sensitive 1	wt	P	O	20	1000	6	60	560	0.10714285714285714	yH103_20
2/23/24	yH103	Sensitive 1	wt	P	O	25	1000	6	60	560	0.10714285714285714	yH103_25
2/23/24	yH250	Sensitive 2	wt	M	O	20	100	82	82	4640	0.01767241379310345	yH250_20
