Date	Strain	Species	H2O2	rM	rP	ASR_score
10/13/22	yH181	Cg	60 mM	0.07407407407407407	0.3804780876494024	5.136454183266933
10/13/22	yH154	Sc	3.5 mM	0.0732484076433121	0.10638297872340426	1.452358926919519
10/13/22	yH149	Kl	2 mM	0.08955223880597014	0.21100917431192662	2.3562691131498474
10/14/22	yH181	Cg	60 mM	0.11731843575418995	0.1732776617954071	1.4769857838751368
10/14/22	yH149	Kl	2 mM	0.0735930735930736	0.20855614973262032	2.833910034602076
08/29/22	yH149	Kl	2 mM	0.1047040971168437	0.215748031496063	2.0605500399406598
08/29/22	yH154	Sc	3.5 mM	0.038869257950530034	0.09206349206349207	2.3685425685425687
08/31/22	yH149	Kl	2 mM	0.02364864864864865	0.10074626865671642	4.2601279317697225
08/31/22	yH154	Sc	3.5 mM	0.1286549707602339	0.1125	0.8744318181818183
09/01/22	yH154	Sc	3.5 mM	0.03731343283582089	0.08144796380090498	2.1828054298642536
09/01/22	yH149	Kl	2 mM	0.011904761904761904	0.049079754601226995	4.122699386503068
09/02/22	yH154	Sc	3.5 mM	0.010101010101010102	0.10687022900763359	10.580152671755725
09/02/22	yH149	Kl	2 mM	0.08896797153024912	0.15789473684210525	1.774736842105263
07/31/23	yH181	Cg	60 mM	0.051515151515151514	0.3539325842696629	6.870456047587574
08/02/23	yH181	Cg	60 mM	0.0329004329004329	0.32	9.726315789473684
08/01/23	yH181	Cg	60 mM	0.0060931899641577065	0.2422360248447205	39.755206430398246
08/03/23	yH181	Cg	60 mM	0.019956140350877193	0.22641509433962265	11.345635496578893
