Date	Strain	Species	Genotype	Primary	Secondary	H2O2	Dilutions	Count	scaled	scaled_M	r	Label
10/13/22	yH181	Cg	wt	M	O	20 mM	1000	103	1030	5940	0.1734006734006734	Cg_20 mM
10/13/22	yH181	Cg	wt	M	O	40 mM	1000	53	530	5940	0.08922558922558922	Cg_40 mM
10/13/22	yH181	Cg	wt	M	O	60 mM	1000	44	440	5940	0.07407407407407407	Cg_60 mM
10/13/22	yH181	Cg	wt	M	O	80 mM	1000	13	130	5940	0.021885521885521887	Cg_80 mM
10/13/22	yH181	Cg	wt	M	O	100 mM	1000	1	10	5940	0.0016835016835016834	Cg_100 mM
10/13/22	yH181	Cg	wt	P	O	20 mM	1000	248	2480	5020	0.4940239043824701	Cg_20 mM
10/13/22	yH181	Cg	wt	P	O	40 mM	1000	185	1850	5020	0.36852589641434264	Cg_40 mM
10/13/22	yH181	Cg	wt	P	O	60 mM	1000	191	1910	5020	0.3804780876494024	Cg_60 mM
10/13/22	yH181	Cg	wt	P	O	80 mM	1000	79	790	5020	0.15737051792828685	Cg_80 mM
10/13/22	yH181	Cg	wt	P	O	100 mM	1000	70	700	5020	0.1394422310756972	Cg_100 mM
10/13/22	yH154	Sc	wt	M	O	1.5 mM	1000	37	370	3140	0.1178343949044586	Sc_1.5 mM
10/13/22	yH154	Sc	wt	M	O	2 mM	1000	29	290	3140	0.09235668789808917	Sc_2 mM
10/13/22	yH154	Sc	wt	M	O	2.5 mM	1000	36	360	3140	0.11464968152866242	Sc_2.5 mM
10/13/22	yH154	Sc	wt	M	O	3 mM	1000	31	310	3140	0.09872611464968153	Sc_3 mM
10/13/22	yH154	Sc	wt	M	O	3.5 mM	1000	23	230	3140	0.0732484076433121	Sc_3.5 mM
10/13/22	yH154	Sc	wt	P	O	1.5 mM	1000	48	480	2820	0.1702127659574468	Sc_1.5 mM
10/13/22	yH154	Sc	wt	P	O	2 mM	1000	57	570	2820	0.20212765957446807	Sc_2 mM
10/13/22	yH154	Sc	wt	P	O	2.5 mM	1000	34	340	2820	0.12056737588652482	Sc_2.5 mM
10/13/22	yH154	Sc	wt	P	O	3 mM	1000	41	410	2820	0.1453900709219858	Sc_3 mM
10/13/22	yH154	Sc	wt	P	O	3.5 mM	1000	30	300	2820	0.10638297872340426	Sc_3.5 mM
10/13/22	yH149	Kl	wt	M	O	1.5 mM	1000	14	140	2680	0.05223880597014925	Kl_1.5 mM
10/13/22	yH149	Kl	wt	M	O	2 mM	1000	24	240	2680	0.08955223880597014	Kl_2 mM
10/13/22	yH149	Kl	wt	M	O	2.5 mM	1000	9	90	2680	0.033582089552238806	Kl_2.5 mM
10/13/22	yH149	Kl	wt	M	O	3 mM	1000	11	110	2680	0.041044776119402986	Kl_3 mM
10/13/22	yH149	Kl	wt	M	O	3.5 mM	1000	16	160	2680	0.05970149253731343	Kl_3.5 mM
10/13/22	yH149	Kl	wt	P	O	1.5 mM	1000	61	610	2180	0.2798165137614679	Kl_1.5 mM
10/13/22	yH149	Kl	wt	P	O	2 mM	1000	46	460	2180	0.21100917431192662	Kl_2 mM
10/13/22	yH149	Kl	wt	P	O	2.5 mM	1000	45	450	2180	0.20642201834862386	Kl_2.5 mM
10/13/22	yH149	Kl	wt	P	O	3 mM	1000	51	510	2180	0.23394495412844038	Kl_3 mM
10/13/22	yH149	Kl	wt	P	O	3.5 mM	1000	40	400	2180	0.1834862385321101	Kl_3.5 mM
10/14/22	yH181	Cg	wt	M	O	20 mM	1000	93	930	3580	0.25977653631284914	Cg_20 mM
10/14/22	yH181	Cg	wt	M	O	40 mM	1000	67	670	3580	0.1871508379888268	Cg_40 mM
10/14/22	yH181	Cg	wt	M	O	60 mM	1000	42	420	3580	0.11731843575418995	Cg_60 mM
10/14/22	yH181	Cg	wt	M	O	80 mM	1000	17	170	3580	0.04748603351955307	Cg_80 mM
10/14/22	yH181	Cg	wt	M	O	100 mM	1000	3	30	3580	0.008379888268156424	Cg_100 mM
10/14/22	yH181	Cg	wt	P	O	20 mM	1000	166	1660	4790	0.3465553235908142	Cg_20 mM
10/14/22	yH181	Cg	wt	P	O	40 mM	1000	132	1320	4790	0.2755741127348643	Cg_40 mM
10/14/22	yH181	Cg	wt	P	O	60 mM	1000	83	830	4790	0.1732776617954071	Cg_60 mM
