# Date: experiment date - A/B/letters indicate biological replicates (different colonies) done on the same date										
# Group: MM = mock primary, mock secondary; MO = mock primary, tBOOH secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, tBOOH secondary										
# Len_1: length of primary stress treatment										
# Len_2: length of secondary stress treatment			tBOOH unit = mM							
# Dilutions: dilutions for CFU assay										
# Count: raw counts on CFU plates										
Date	Species	Strain	Genotype	Group	Len_1	Len_2	Oxidant	Concentration	Dilutions	Count
8/23/23	Cg	yH181	wildtype	MM	45 min	2 hr	tBOOH	0 mM	1000	456
8/23/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1 mM	100	1469
8/23/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1.5 mM	100	1475
8/23/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	2mM	100	272
8/23/23	Cg	yH181	wildtype	PM	45 min	2 hr	tBOOH	0 mM	1000	365
8/23/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1 mM	100	1265
8/23/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1.5 mM	100	1254
8/23/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	2mM	100	169
8/25/23	Cg	yH181	wildtype	MM	45 min	2 hr	tBOOH	0 mM	1000	578
8/25/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1 mM	100	1378
8/25/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1.5 mM	100	1144
8/25/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	2mM	100	461
8/25/23	Cg	yH181	wildtype	PM	45 min	2 hr	tBOOH	0 mM	1000	312
8/25/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1 mM	100	1227
8/25/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1.5 mM	100	1191
8/25/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	2mM	100	239
8/26/23	Cg	yH181	wildtype	MM	45 min	2 hr	tBOOH	0 mM	1000	461
8/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	0.5 mM	1000	140
8/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1 mM	1000	109
8/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1.5 mM	100	100
8/26/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	2mM	100	65
8/26/23	Cg	yH181	wildtype	PM	45 min	2 hr	tBOOH	0 mM	1000	448
8/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	0.5 mM	1000	133
8/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1 mM	1000	114
8/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1.5 mM	100	89
8/26/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	2mM	100	44
8/28/23	Cg	yH181	wildtype	MM	45 min	2 hr	tBOOH	0 mM	1000	438
8/28/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	0.5 mM	1000	127
8/28/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1 mM	1000	130
8/28/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1.5 mM	100	113
8/28/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	2mM	100	122
8/28/23	Cg	yH181	wildtype	PM	45 min	2 hr	tBOOH	0 mM	1000	225
8/28/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	0.5 mM	1000	92
8/28/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1 mM	1000	28
8/28/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1.5 mM	100	41
8/28/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	2mM	100	14
8/30/23	Cg	yH181	wildtype	MM	45 min	2 hr	tBOOH	0 mM	1000	517
8/30/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1.5 mM	1000	172
8/30/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	2mM	100	493
8/30/23	Cg	yH181	wildtype	PM	45 min	2 hr	tBOOH	0 mM	1000	538
8/30/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1.5 mM	1000	85
8/30/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	2mM	100	343
8/31/23	Cg	yH181	wildtype	MM	45 min	2 hr	tBOOH	0 mM	1000	522
8/31/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	1.5 mM	1000	148
8/31/23	Cg	yH181	wildtype	MO	45 min	2 hr	tBOOH	2mM	100	388
8/31/23	Cg	yH181	wildtype	PM	45 min	2 hr	tBOOH	0 mM	1000	320
8/31/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	1.5 mM	1000	63
8/31/23	Cg	yH181	wildtype	PO	45 min	2 hr	tBOOH	2mM	100	216
9/2/23	Cg	yH181	wildtype	MM	45 min	2 hr	MSB	0 mM	1000	481
9/2/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	300 mM	100	321
9/2/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	350 mM	100	110
9/2/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	400 mM	100	42
9/2/23	Cg	yH181	wildtype	PM	45 min	2 hr	MSB	0 mM	1000	492
9/2/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	300 mM	100	423
9/2/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	350 mM	100	187
